model,modal,frequency_metric,error_metric,n,spearman,pearson
swin_unet,NBI,boundary_freq_gap,boundary_FN,420,0.04496073173261319,0.04785129695898643
swin_unet,NBI,boundary_freq_gap,boundary_FP,420,-0.1995600544620627,-0.20215316107736744
swin_unet,NBI,boundary_freq_gap,exterior_FP,420,-0.18294821006707532,-0.104630585557116
swin_unet,NBI,boundary_freq_gap,interior_error_ratio,420,0.12202387786564314,0.0995593548833861
swin_unet,NBI,boundary_freq_gap,boundary_error_ratio,420,0.16766634855661833,0.1957896863941919
swin_unet,NBI,boundary_freq_gap,exterior_error_ratio,420,-0.2506806707202528,-0.2285427997368586
swin_unet,NBI,boundary_freq_gap,boundary_FN_error_ratio,420,0.2260102593098002,0.2500596452502827
swin_unet,NBI,boundary_freq_gap,boundary_FP_error_ratio,420,0.011882828354191445,0.02036621485508862
swin_unet,NBI,boundary_freq_gap,boundary_fp_fn_balance,420,-0.1714049836469249,-0.18316734758954428
unet,WL,scale,interior_FN,420,0.29052860045461915,0.12020567608827684
unet,WL,scale,boundary_FN,420,0.337277947445731,0.31938981061316596
unet,WL,scale,boundary_FP,420,-0.36010889603215485,-0.38630453107430385
unet,WL,scale,exterior_FP,420,-0.14005582446899753,-0.030141609257911286
unet,WL,scale,interior_error_ratio,420,0.58301599059833,0.6013220090102902
unet,WL,scale,boundary_error_ratio,420,0.07077429458922653,-0.0005940521463505329
unet,WL,scale,exterior_error_ratio,420,-0.5180027533777767,-0.5202184285993288
unet,WL,scale,boundary_FN_error_ratio,420,0.34619793838191115,0.23630477690972673
unet,WL,scale,boundary_FP_error_ratio,420,-0.2179743309693338,-0.23637448403466046
unet,WL,scale,boundary_fp_fn_balance,420,-0.42757143892374494,-0.4510589373430537
unet,WL,global_hfr,interior_FN,420,-0.03631062780746898,-0.02469224933302554
unet,WL,global_hfr,boundary_FN,420,-0.042440093631895576,-0.039672960967284135
unet,WL,global_hfr,boundary_FP,420,0.014498840518737347,0.01132848403729148
unet,WL,global_hfr,exterior_FP,420,-0.10230124897522486,-0.07788531232989887
unet,WL,global_hfr,interior_error_ratio,420,-0.05790012244663137,-0.07100609572368284
unet,WL,global_hfr,boundary_error_ratio,420,0.1072696395266251,0.074451313359918
unet,WL,global_hfr,exterior_error_ratio,420,0.018503323809036857,0.014145506001356061
unet,WL,global_hfr,boundary_FN_error_ratio,420,0.049879628986751696,0.004535876315729786
unet,WL,global_hfr,boundary_FP_error_ratio,420,0.11556860410133182,0.08937914448795498
unet,WL,global_hfr,boundary_fp_fn_balance,420,0.0428780029495053,0.034935189703866505
unet,WL,boundary_hfr,interior_FN,420,0.14472912741747315,0.023113759307220132
unet,WL,boundary_hfr,boundary_FN,420,0.1573298505247819,0.09157730259724729
unet,WL,boundary_hfr,boundary_FP,420,-0.2048032086407327,-0.16030979136291995
unet,WL,boundary_hfr,exterior_FP,420,-0.15058934357562676,-0.10253530928322631
unet,WL,boundary_hfr,interior_error_ratio,420,0.2524802987118013,0.1671026116093987
unet,WL,boundary_hfr,boundary_error_ratio,420,0.04718377898157829,0.05650206975618032
unet,WL,boundary_hfr,exterior_error_ratio,420,-0.20866993030643052,-0.18058750065702386
unet,WL,boundary_hfr,boundary_FN_error_ratio,420,0.22459536283313972,0.141917274058532
unet,WL,boundary_hfr,boundary_FP_error_ratio,420,-0.10672521014707703,-0.0702457303552885
unet,WL,boundary_hfr,boundary_fp_fn_balance,420,-0.22610540417051442,-0.17200333385739677
unet,WL,boundary_freq_std,interior_FN,420,0.24319748937641092,0.08046197786424886
unet,WL,boundary_freq_std,boundary_FN,420,0.2694605712825188,0.1781075876045672
unet,WL,boundary_freq_std,boundary_FP,420,-0.27543310336782123,-0.20301222153969567
unet,WL,boundary_freq_std,exterior_FP,420,-0.14251948386046662,-0.09759717828989671
unet,WL,boundary_freq_std,interior_error_ratio,420,0.3707792312137208,0.2533453264057451
unet,WL,boundary_freq_std,boundary_error_ratio,420,0.012490514604472164,-0.010151858164317885
unet,WL,boundary_freq_std,exterior_error_ratio,420,-0.27167306499952015,-0.21288089433174132
unet,WL,boundary_freq_std,boundary_FN_error_ratio,420,0.27706354343768197,0.13511456667854368
unet,WL,boundary_freq_std,boundary_FP_error_ratio,420,-0.1998544188193721,-0.14753008311604057
unet,WL,boundary_freq_std,boundary_fp_fn_balance,420,-0.32489976470045545,-0.23916934787142638
unet,WL,boundary_freq_gap,interior_FN,420,0.23369266837298655,0.13148645217120364
unet,WL,boundary_freq_gap,boundary_FN,420,0.25016100539746594,0.21638654528180817
unet,WL,boundary_freq_gap,boundary_FP,420,-0.28483789676192683,-0.2996379963486298
unet,WL,boundary_freq_gap,exterior_FP,420,-0.20347212427788763,-0.14352026723622943
unet,WL,boundary_freq_gap,interior_error_ratio,420,0.39997547794788,0.40379808482244806
unet,WL,boundary_freq_gap,boundary_error_ratio,420,0.021654641709177167,0.0023818483457357592
unet,WL,boundary_freq_gap,exterior_error_ratio,420,-0.3573879080888469,-0.351103347312113
unet,WL,boundary_freq_gap,boundary_FN_error_ratio,420,0.27134252202848586,0.20107388978763982
unet,WL,boundary_freq_gap,boundary_FP_error_ratio,420,-0.21012835703173116,-0.19749154579932382
unet,WL,boundary_freq_gap,boundary_fp_fn_balance,420,-0.33291093253080994,-0.33811141619185425
unet,NBI,scale,interior_FN,420,-0.046874587019067264,-0.20350079565060444
unet,NBI,scale,boundary_FN,420,0.024838052368907158,-0.03149773841366458
unet,NBI,scale,boundary_FP,420,-0.16422282877702682,-0.19544737382779223
unet,NBI,scale,exterior_FP,420,-0.01231951852407382,0.009970915012092369
unet,NBI,scale,interior_error_ratio,420,0.18580890676121434,0.1988717502235628
unet,NBI,scale,boundary_error_ratio,420,0.22119948640769788,0.27242229980512594
unet,NBI,scale,exterior_error_ratio,420,-0.2967372161105522,-0.3258751260486457
unet,NBI,scale,boundary_FN_error_ratio,420,0.25056827907429885,0.25676143835175824
unet,NBI,scale,boundary_FP_error_ratio,420,0.07170200692252668,0.09768509275700339
unet,NBI,scale,boundary_fp_fn_balance,420,-0.189922779223111,-0.20417891399687138
unet,NBI,global_hfr,interior_FN,420,0.051334535101498206,0.02163534982033345
unet,NBI,global_hfr,boundary_FN,420,0.03902705533945935,0.05134092320257254
unet,NBI,global_hfr,boundary_FP,420,-0.04211171215839532,-0.03200479785083947
unet,NBI,global_hfr,exterior_FP,420,-0.048253784954950855,-0.07883211222313997
unet,NBI,global_hfr,interior_error_ratio,420,0.021182432581476396,0.023546190742285384
unet,NBI,global_hfr,boundary_error_ratio,420,0.025189651251611125,-0.009770533607327493
unet,NBI,global_hfr,exterior_error_ratio,420,-0.006501766983407214,-0.010138872527251083
unet,NBI,global_hfr,boundary_FN_error_ratio,420,0.01774791680668692,-0.01194811182463757
unet,NBI,global_hfr,boundary_FP_error_ratio,420,0.03229242189725595,-0.00032543890587962673
unet,NBI,global_hfr,boundary_fp_fn_balance,420,-0.005378709056200054,-0.005862094146203024
unet,NBI,boundary_hfr,interior_FN,420,-0.01052767167625964,-0.03958261499998444
unet,NBI,boundary_hfr,boundary_FN,420,0.0009798674854263809,-0.010843430947035921
unet,NBI,boundary_hfr,boundary_FP,420,-0.018714444850796697,0.005317015450499106
unet,NBI,boundary_hfr,exterior_FP,420,0.021286937773727775,0.023127685462431286
unet,NBI,boundary_hfr,interior_error_ratio,420,-0.009784488341219299,-0.008576885730802411
unet,NBI,boundary_hfr,boundary_error_ratio,420,0.0020520041905006518,-0.04597850982230661
unet,NBI,boundary_hfr,exterior_error_ratio,420,0.014124735053416396,0.037222311869129006
unet,NBI,boundary_hfr,boundary_FN_error_ratio,420,0.01777375180769691,-0.03350040625467831
unet,NBI,boundary_hfr,boundary_FP_error_ratio,420,0.007710048155920736,-0.02789737342641731
unet,NBI,boundary_hfr,boundary_fp_fn_balance,420,-0.005828676043826873,0.015429977244521829
unet,NBI,boundary_freq_std,interior_FN,420,0.03952458758348954,-0.04672930255450577
unet,NBI,boundary_freq_std,boundary_FN,420,0.06110124506011978,0.03651238650301808
unet,NBI,boundary_freq_std,boundary_FP,420,-0.08620400481250252,-0.07720382185628961
unet,NBI,boundary_freq_std,exterior_FP,420,0.0354431144303244,0.07114549068779603
unet,NBI,boundary_freq_std,interior_error_ratio,420,0.09247908347098432,0.06796600931719712
unet,NBI,boundary_freq_std,boundary_error_ratio,420,0.02824652038787435,0.018572986606729368
unet,NBI,boundary_freq_std,exterior_error_ratio,420,-0.08052956304016651,-0.06092559751928248
unet,NBI,boundary_freq_std,boundary_FN_error_ratio,420,0.10123716453768701,0.054374768738511256
unet,NBI,boundary_freq_std,boundary_FP_error_ratio,420,-0.03902157550925987,-0.03611588857957423
unet,NBI,boundary_freq_std,boundary_fp_fn_balance,420,-0.107554096204467,-0.08649899842998994
unet,NBI,boundary_freq_gap,interior_FN,420,0.03030878898464137,-0.05354101710962971
unet,NBI,boundary_freq_gap,boundary_FN,420,0.1072270147423011,0.09862393945221985
unet,NBI,boundary_freq_gap,boundary_FP,420,-0.23716074683270014,-0.24189064790273643
unet,NBI,boundary_freq_gap,exterior_FP,420,-0.2346175670710618,-0.174014808949528
unet,NBI,boundary_freq_gap,interior_error_ratio,420,0.1540561322666868,0.1735631288086411
unet,NBI,boundary_freq_gap,boundary_error_ratio,420,0.2459904204170967,0.23360884322428566
unet,NBI,boundary_freq_gap,exterior_error_ratio,420,-0.2912782532639741,-0.28159859987825037
unet,NBI,boundary_freq_gap,boundary_FN_error_ratio,420,0.2836478212612969,0.2862127329501655
unet,NBI,boundary_freq_gap,boundary_FP_error_ratio,420,0.044622360257294776,0.007155718821846987
unet,NBI,boundary_freq_gap,boundary_fp_fn_balance,420,-0.2202112197470128,-0.2380755035987348
unetpp,WL,scale,interior_FN,420,0.14159331574868436,-0.00742918976446322
unetpp,WL,scale,boundary_FN,420,0.18122454604158594,0.17721039169042455
unetpp,WL,scale,boundary_FP,420,-0.20531141567688668,-0.24979175705984816
unetpp,WL,scale,exterior_FP,420,-0.051880141873339225,0.054704477245642404
unetpp,WL,scale,interior_error_ratio,420,0.4214604337868385,0.440717873424201
unetpp,WL,scale,boundary_error_ratio,420,-0.04419153834657061,-0.05905132425574359
unetpp,WL,scale,exterior_error_ratio,420,-0.34777737153494254,-0.36503030896432004
unetpp,WL,scale,boundary_FN_error_ratio,420,0.13866820650365377,0.089196342977073
unetpp,WL,scale,boundary_FP_error_ratio,420,-0.15878651546662997,-0.1658693130618843
unetpp,WL,scale,boundary_fp_fn_balance,420,-0.2734770784169855,-0.3107889617285491
unetpp,WL,global_hfr,interior_FN,420,0.03837374591146996,0.017879568462320278
unetpp,WL,global_hfr,boundary_FN,420,0.06359645465955317,0.06123945718415368
unetpp,WL,global_hfr,boundary_FP,420,-0.09131987832518636,-0.09710800893601317
unetpp,WL,global_hfr,exterior_FP,420,-0.19143709983168833,-0.15724422606057614
unetpp,WL,global_hfr,interior_error_ratio,420,0.020428954845205533,0.015922927897806277
unetpp,WL,global_hfr,boundary_error_ratio,420,0.17310431788971917,0.13941149627470892
unetpp,WL,global_hfr,exterior_error_ratio,420,-0.08877818919305103,-0.10690628947512168
unetpp,WL,global_hfr,boundary_FN_error_ratio,420,0.1690376253408095,0.13675668680478362
unetpp,WL,global_hfr,boundary_FP_error_ratio,420,0.051051120783119915,0.035913339139354565
unetpp,WL,global_hfr,boundary_fp_fn_balance,420,-0.05469048909001965,-0.06840792131316793
unetpp,WL,boundary_hfr,interior_FN,420,0.014566101577987095,-0.036919698932257744
unetpp,WL,boundary_hfr,boundary_FN,420,0.05377076977683111,0.04734193913359479
unetpp,WL,boundary_hfr,boundary_FP,420,-0.11074667054328424,-0.12004441490279341
unetpp,WL,boundary_hfr,exterior_FP,420,-0.1311628767758029,-0.09122541131674966
unetpp,WL,boundary_hfr,interior_error_ratio,420,0.12067881403050587,0.08405573960411705
unetpp,WL,boundary_hfr,boundary_error_ratio,420,0.09741551822856138,0.11832626074964211
unetpp,WL,boundary_hfr,exterior_error_ratio,420,-0.1678662471506887,-0.15542189949287344
unetpp,WL,boundary_hfr,boundary_FN_error_ratio,420,0.15573236514131025,0.16016512588556986
unetpp,WL,boundary_hfr,boundary_FP_error_ratio,420,-0.030948452179203417,-0.01466967436748026
unetpp,WL,boundary_hfr,boundary_fp_fn_balance,420,-0.12625596517357013,-0.1262126773128533
unetpp,WL,boundary_freq_std,interior_FN,420,0.07461160374687044,-0.019633076223502556
unetpp,WL,boundary_freq_std,boundary_FN,420,0.11951856706624013,0.08969696639430813
unetpp,WL,boundary_freq_std,boundary_FP,420,-0.1502204097691873,-0.13541038316592935
unetpp,WL,boundary_freq_std,exterior_FP,420,-0.1101769787918375,-0.07968884786372313
unetpp,WL,boundary_freq_std,interior_error_ratio,420,0.20887895290162792,0.14648466705509358
unetpp,WL,boundary_freq_std,boundary_error_ratio,420,0.029540497881021352,0.04233799411984789
unetpp,WL,boundary_freq_std,exterior_error_ratio,420,-0.19733979446196634,-0.1623554969125254
unetpp,WL,boundary_freq_std,boundary_FN_error_ratio,420,0.15767360981220924,0.12451532208232581
unetpp,WL,boundary_freq_std,boundary_FP_error_ratio,420,-0.10403746135795308,-0.0740704191444391
unetpp,WL,boundary_freq_std,boundary_fp_fn_balance,420,-0.19042806991396666,-0.16200065975650027
unetpp,WL,boundary_freq_gap,interior_FN,420,0.09097007086151362,0.05077018977321735
