modal,image,split,model_count,low_dice_count,low_boundary_iou_count,high_hd95_count,high_dice_low_boundary_count,Dice_mean,Boundary_IoU_mean,HD95_mean,interior_error_ratio_mean,boundary_error_ratio_mean,exterior_error_ratio_mean,boundary_FN_error_ratio_mean,boundary_FP_error_ratio_mean,boundary_fp_fn_balance_mean,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,common_low_dice,common_low_boundary_iou,common_high_hd95
WL,gas_27596,test,4,2,1,4,0,0.4535026218144116,0.09703955357197067,119.83867736138926,0.2474537579170768,0.22296167809724293,0.5295845639856802,0.1744561654558037,0.04850551264143928,0.24326677408413183,0.1181640625,1.7021702830186013e-05,6.378073212988305e-05,7.932143268524788e-05,3.286804388162351e-05,False,False,True
WL,gas_26039,test,4,0,4,0,0,0.705770765125086,0.04249377373384952,59.23748566595451,0.05151786729652614,0.20563415990477274,0.7428479727987011,0.03522500071513426,0.1704091591896385,0.8298948529437051,0.2397613525390625,2.8538247525023515e-05,4.978876982495044e-05,2.4245726185356533e-05,1.3107323818386468e-05,False,True,False
WL,gas_35908,test,4,0,4,0,0,0.6263686605466985,0.07390466252792904,45.62448754175634,0.1018297833311523,0.19942312663321765,0.6987470900356301,0.0352612400853742,0.16416188654784344,0.824661978885554,0.2126922607421875,6.650916584457119e-05,0.0002325776095932,0.00013148880435,0.0001071087331398,False,True,False
WL,gas_32649,test,4,0,4,0,0,0.6850207813356594,0.05456691181465233,52.63187068174763,0.6450801557190755,0.19691287515952471,0.15800696912139983,0.12006007177273853,0.07685280338678618,0.39023249561751117,0.4580230712890625,1.3726746806691315e-05,0.0002648864658884,0.0002407896557032,0.0003074707513614,False,True,False
WL,gas_27365,test,4,2,4,0,0,0.4996510464315355,0.035469143509712475,61.11072941441269,0.8059873674628886,0.1930585187534956,0.0009541137836158694,0.18714519959422612,0.0059133191592694945,0.021101375332741795,0.4962921142578125,5.5050706030311685e-05,0.0002061310037289,0.0002864398121914,4.461881566502414e-05,False,True,False
WL,gas_34868,test,4,1,4,1,0,0.5252696905274444,0.03763143513734207,73.53514797276699,0.0,0.19174902783179426,0.8082509721682057,0.00034352713130526104,0.191405500700489,0.9980853943442607,0.0578155517578125,9.598456926130444e-05,0.0002150645400417,0.0001986703511173,0.0001974088343372,False,True,False
WL,gas_59ef58d465a92352,test,4,4,4,3,0,0.018330097087378625,0.00035612535612535,249.38455695331436,0.8102623732031293,0.18973762679687067,0.0,0.18973762679687067,0.0,0.0,0.2467803955078125,0.000137589597353,0.0004798168039673,0.0003797459003618,0.0008516300716356,True,True,False
WL,gas_27225,test,4,3,4,1,0,0.4833475015339503,0.04548104431139855,98.35002941360885,0.7586729212835898,0.17192921025489216,0.06939786846151812,0.15064049215488673,0.021288718100005422,0.12297903083978523,0.505401611328125,2.8973796800862983e-05,6.740448844149369e-05,7.744936926633428e-05,8.269190218089805e-05,False,True,False
WL,gas_599f943d393b7123,test,4,4,4,4,0,0.1243931041542296,0.02880249015608945,118.8093159344507,0.24430552828184104,0.1651443153999353,0.5905501563182237,0.15635344989837036,0.00879086550156494,0.08461640704434148,0.0338134765625,0.0002222133042367,0.0002394254123814,0.0001761572843716,2.04161610172113e-05,True,True,True
WL,gas_26706,test,4,4,4,0,0,0.3560217622573043,0.0018517093655176999,54.442888339579405,0.0,0.16213724193302342,0.8378627580669766,0.0,0.16213724193302342,1.0,0.027252197265625,4.878543317045134e-05,6.451959595716461e-05,2.645372014297357e-05,1.351580321260789e-05,True,True,False
