image,modal,split,model,prediction_path,image_path,mask_path,image_size,erode_dilate_radius,interior_area,boundary_inner_area,boundary_outer_area,exterior_area,total_fn_pixels,total_fp_pixels,total_error_pixels,interior_FN_pixels,boundary_FN_pixels,boundary_FP_pixels,exterior_FP_pixels,interior_FN,boundary_FN,boundary_FP,exterior_FP,interior_error_ratio,boundary_error_ratio,exterior_error_ratio,boundary_FN_error_ratio,boundary_FP_error_ratio,boundary_fp_fn_balance,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,low_dice,low_boundary_iou,high_hd95,high_dice_low_boundary,high_dice_high_hd95
gas_3926c0b84f0e8ff1,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3926c0b84f0e8ff1.png,dataset\NBI\test\images\gas_3926c0b84f0e8ff1.jpg,dataset\NBI\test\masks\gas_3926c0b84f0e8ff1.png,256,5,40895,4231,3381,17029,4435,16763,21198,3361,1074,2858,13905,0.08218608631862086,0.2538406995982037,0.8453120378586217,0.8165482412355394,0.15855269365034438,0.18548919709406547,0.6559581092555902,0.050665157090291534,0.13482404000377393,0.7268565615462869,0.7939339875111507,0.658284023668639,0.0525808671713695,47.42571625766878,0.322265625,0.688568115234375,0.0004747690738491,0.0006606852581895,0.0007863433179508,0.0005059094185551,False,True,False,False,False
gas_398aa125fa1cd9e1,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_398aa125fa1cd9e1.png,dataset\NBI\test\images\gas_398aa125fa1cd9e1.jpg,dataset\NBI\test\masks\gas_398aa125fa1cd9e1.png,256,5,7335,1656,1803,54742,710,832,1542,114,596,673,159,0.015541922290388548,0.35990338164251207,0.3732667775929007,0.0029045339958350077,0.07392996108949416,0.8229571984435797,0.10311284046692606,0.3865110246433204,0.4364461738002594,0.5303388494877856,0.9144874288595922,0.8424475710114149,0.2163426925845932,6.708203932499369,0.023656727746129,0.1371917724609375,0.0007576582700781,0.0007900356343362,0.0002749371447561,0.0002865178336988,False,False,False,False,False
gas_3a2bca782f175fb8,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3a2bca782f175fb8.png,dataset\NBI\test\images\gas_3a2bca782f175fb8.jpg,dataset\NBI\test\masks\gas_3a2bca782f175fb8.png,256,5,47512,4407,2458,11159,601,547,1148,0,601,547,0,0.0,0.13637395053324256,0.2225386493083808,0.0,0.0,1.0,0.0,0.5235191637630662,0.4764808362369338,0.4764808362369338,0.988943736463003,0.9781292813550878,0.7159413434247871,2.0,0.017498405650258,0.7922210693359375,0.0006418857173134,0.000934799142555,0.0008045481931479,0.0005670536516397,False,False,False,False,False
gas_3a93aaf3b1a7fdc0,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3a93aaf3b1a7fdc0.png,dataset\NBI\test\images\gas_3a93aaf3b1a7fdc0.jpg,dataset\NBI\test\masks\gas_3a93aaf3b1a7fdc0.png,256,5,3010,1181,1333,60012,16,3637,3653,0,16,1052,2585,0.0,0.013547840812870448,0.7891972993248312,0.0430747183896554,0.0,0.292362441828634,0.707637558171366,0.0043799616753353405,0.28798248015329864,0.9850187265917603,0.6973055193394176,0.535279399499583,0.1090415211486224,30.0,0.0555245541036129,0.0639495849609375,0.0003889183073051,0.0006295424676574,0.0003105489557795,0.0001856517111489,False,False,False,False,False
gas_3ac7dafef1f9e36e,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3ac7dafef1f9e36e.png,dataset\NBI\test\images\gas_3ac7dafef1f9e36e.jpg,dataset\NBI\test\masks\gas_3ac7dafef1f9e36e.png,256,5,51622,4347,2489,7078,520,1764,2284,1,519,1084,680,1.9371585758010152e-05,0.11939268461007592,0.4355162715950181,0.09607233681831026,0.00043782837127845885,0.7018388791593695,0.29772329246935203,0.22723292469352013,0.4746059544658494,0.6762320648783531,0.979703582196449,0.9602146641909334,0.4985367892976589,9.219544457292889,0.0350167416036129,0.8540191650390625,0.0004803801624619,0.0006473745372063,0.0005065073522605,0.0006755369727529,False,False,False,False,False
gas_3bb953b40703acce,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3bb953b40703acce.png,dataset\NBI\test\images\gas_3bb953b40703acce.jpg,dataset\NBI\test\masks\gas_3bb953b40703acce.png,256,5,2135,1135,1284,60982,65,3793,3858,0,65,864,2929,0.0,0.05726872246696035,0.6728971962616822,0.04803056639664163,0.0,0.2407983411093831,0.7592016588906169,0.016848107827890098,0.223950233281493,0.930032292787944,0.6256201501081288,0.4552017771195853,0.1616666666666666,27.89085762158298,0.0586535409092903,0.049896240234375,8.623093439862524e-05,0.0003498844096328,0.0002353664735139,4.713128126760378e-05,False,False,False,False,False
gas_3c8e86fc2eaac8,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3c8e86fc2eaac8.png,dataset\NBI\test\images\gas_3c8e86fc2eaac8.jpg,dataset\NBI\test\masks\gas_3c8e86fc2eaac8.png,256,5,45860,4477,2513,12686,1124,1734,2858,76,1048,840,894,0.0016572176188399477,0.2340853249944159,0.3342618384401114,0.07047138577959956,0.026592022393282014,0.6606018194541637,0.31280615815255425,0.36668999300209937,0.2939118264520644,0.4449152542372881,0.9714307835243108,0.9444486262702296,0.478235294117647,11.235693478372056,0.0441246815025806,0.7680816650390625,0.0006711686207163,0.0017672987374107,0.001731972250308,0.0009204187731262,False,False,False,False,False
gas_3dbbbf20cbac2b67,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3dbbbf20cbac2b67.png,dataset\NBI\test\images\gas_3dbbbf20cbac2b67.jpg,dataset\NBI\test\masks\gas_3dbbbf20cbac2b67.png,256,5,3587,1356,1504,59089,256,18316,18572,11,245,1038,17278,0.0030666294954000556,0.18067846607669616,0.6901595744680851,0.2924063700519555,0.0005922894680163687,0.06908248976954555,0.9303252207624381,0.013191901787637303,0.05589058798190825,0.809041309431021,0.3347683668694431,0.2010341145394256,0.0667943500119703,81.32834331007058,0.2833226919174194,0.0754241943359375,0.0008171371725217,0.0009744544113404,0.0003137626663887,0.0001528264063745,True,True,False,False,False
gas_3e4baf0fa2887d74,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3e4baf0fa2887d74.png,dataset\NBI\test\images\gas_3e4baf0fa2887d74.jpg,dataset\NBI\test\masks\gas_3e4baf0fa2887d74.png,256,5,35615,3634,3479,22808,323,4893,5216,0,323,2344,2549,0.0,0.08888277380297194,0.6737568266743317,0.11175903191862505,0.0,0.5113113496932515,0.48868865030674846,0.061924846625766874,0.4493865030674847,0.8788901387326584,0.9373996789727128,0.8821752265861027,0.2331420373027259,17.804493814764857,0.0792809277772903,0.5988922119140625,0.0009601190908098,0.0012361357575694,0.0004345168904138,0.000111135991727,False,False,False,False,False
gas_3ec3f162e30d0bcf,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3ec3f162e30d0bcf.png,dataset\NBI\test\images\gas_3ec3f162e30d0bcf.jpg,dataset\NBI\test\masks\gas_3ec3f162e30d0bcf.png,256,5,17120,2634,2752,43030,2066,5645,7711,1390,676,1622,4023,0.08119158878504673,0.25664388762338647,0.5893895348837209,0.09349291192191495,0.18026196342886786,0.2980158215536247,0.5217222150175075,0.08766696926468681,0.21034885228893788,0.7058311575282855,0.8226300621871682,0.6987014325466351,0.0888009049773755,27.202941017470888,0.1165298148989677,0.301422119140625,0.0001900326140943,0.000322581851491,0.0002307664244688,0.0001643885359379,False,True,False,False,False
gas_3f9776b08515500a,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3f9776b08515500a.png,dataset\NBI\test\images\gas_3f9776b08515500a.jpg,dataset\NBI\test\masks\gas_3f9776b08515500a.png,256,5,38364,3883,3634,19655,1350,7913,9263,492,858,1827,6086,0.01282452299030341,0.22096317280453256,0.5027517886626307,0.30964131264309336,0.053114541725143044,0.28986289539026233,0.6570225628845946,0.0926265788621397,0.19723631652812265,0.6804469273743017,0.8998738025583664,0.8179732512970254,0.2719153159113463,48.75705056998333,0.1391501873731613,0.6446380615234375,0.0004892794621124,0.0005327956570278,0.0004429846070187,0.0001368624649626,False,False,False,False,False
gas_3fa615b62bd7d688,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3fa615b62bd7d688.png,dataset\NBI\test\images\gas_3fa615b62bd7d688.jpg,dataset\NBI\test\masks\gas_3fa615b62bd7d688.png,256,5,3321,1210,1358,59647,156,4679,4835,28,128,1100,3579,0.008431195423065342,0.10578512396694215,0.8100147275405007,0.06000301775445538,0.00579110651499483,0.25398138572905893,0.7402275077559463,0.026473629782833505,0.22750775594622544,0.8957654723127035,0.6424930268346638,0.4732889329743517,0.0448763250883392,27.03328773361279,0.0740792378783226,0.0691375732421875,0.0001615316802335,8.912022349199291e-05,5.886051981095715e-05,2.3289465525791472e-05,False,True,False,False,False
