image,modal,split,model,prediction_path,image_path,mask_path,image_size,erode_dilate_radius,interior_area,boundary_inner_area,boundary_outer_area,exterior_area,total_fn_pixels,total_fp_pixels,total_error_pixels,interior_FN_pixels,boundary_FN_pixels,boundary_FP_pixels,exterior_FP_pixels,interior_FN,boundary_FN,boundary_FP,exterior_FP,interior_error_ratio,boundary_error_ratio,exterior_error_ratio,boundary_FN_error_ratio,boundary_FP_error_ratio,boundary_fp_fn_balance,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,low_dice,low_boundary_iou,high_hd95,high_dice_low_boundary,high_dice_high_hd95
gas_32783,WL,test,attention_unet,experiment_03_baseline_failure_analysis\predictions\attention_unet\WL\test\gas_32783.png,dataset\WL\test\images\gas_32783.jpg,dataset\WL\test\masks\gas_32783.png,256,5,36753,4660,4620,19503,3824,8446,12270,3194,630,3603,4843,0.08690447038337007,0.1351931330472103,0.7798701298701298,0.24832077116341075,0.26030969845150775,0.3449877750611247,0.3947025264873676,0.05134474327628362,0.2936430317848411,0.851169383416017,0.8589160734581563,0.75271945689497,0.0988722216139275,42.97206785187559,0.1880181729793548,0.6319122314453125,7.30027629972438e-05,0.0003934909656484,0.0003322132517314,0.0002986926006352,False,True,False,True,False
gas_33871,WL,test,attention_unet,experiment_03_baseline_failure_analysis\predictions\attention_unet\WL\test\gas_33871.png,dataset\WL\test\images\gas_33871.jpg,dataset\WL\test\masks\gas_33871.png,256,5,40472,4205,4365,16494,1360,11476,12836,845,515,3756,7720,0.020878632140739276,0.12247324613555291,0.8604810996563574,0.4680489875106099,0.06583047678404487,0.33273605484574637,0.6014334683702088,0.04012153318790901,0.29261452165783736,0.8794193397330836,0.8707047098832705,0.7710159756296072,0.0610021786492374,46.37347533613007,0.1962492018938064,0.6817169189453125,4.228933473671765e-05,0.0002434915778721,0.0001321435127414,0.0001121398059128,False,True,False,True,False
gas_35737,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_35737.png,dataset\WL\test\images\gas_35737.jpg,dataset\WL\test\masks\gas_35737.png,256,5,33345,3742,3862,24587,3617,6509,10126,2907,710,2609,3900,0.08717948717948718,0.1897381079636558,0.6755567063697566,0.15862040915931183,0.2870827572585424,0.3277700967805649,0.3851471459608928,0.07011653170057278,0.2576535650799921,0.786080144621874,0.8689592023603622,0.7682828101106414,0.0972023979446188,37.07953484673504,0.1540178507566452,0.5659027099609375,4.727751204845593e-05,0.0001422035695321,0.0001098082528875,8.980139109580662e-05,False,True,False,True,False
gas_36455,WL,test,unetpp,experiment_03_baseline_failure_analysis\predictions\unetpp\WL\test\gas_36455.png,dataset\WL\test\images\gas_36455.jpg,dataset\WL\test\masks\gas_36455.png,256,5,46790,4393,2492,11861,10572,2650,13222,7791,2781,1052,1598,0.16650993802094466,0.6330525836558161,0.42215088282504015,0.13472725739819577,0.5892451973982756,0.28989562849795797,0.12085917410376645,0.2103312660716987,0.07956436242625926,0.27445864857813723,0.8597517951272153,0.7540040768782761,0.0715127701375245,50.54299143831908,0.2020288556814193,0.7809906005859375,2.833829058555813e-05,0.0003191127170068,0.00040511905658,0.0004113294126954,False,True,False,True,True
gas_b493971ce67e37d3,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_b493971ce67e37d3.png,dataset\NBI\test\images\gas_b493971ce67e37d3.jpg,dataset\NBI\test\masks\gas_b493971ce67e37d3.png,256,5,22396,2854,2896,37390,2939,1663,4602,1165,1774,745,918,0.05201821753884622,0.6215837421163279,0.2572513812154696,0.02455201925648569,0.2531508039982616,0.5473707083876576,0.19947848761408082,0.3854845719252499,0.16188613646240765,0.29575228265184594,0.90606092771468,0.8282553852124975,0.0971792890262751,13.45362404707371,0.0705516561865806,0.385284423828125,0.0002896979867484,0.0002779623559356,0.0001890518430623,6.282567177233082e-05,False,True,False,True,False
gas_c0b78a6a640849e8,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_c0b78a6a640849e8.png,dataset\NBI\test\images\gas_c0b78a6a640849e8.jpg,dataset\NBI\test\masks\gas_c0b78a6a640849e8.png,256,5,16411,2967,3112,43046,4701,146,4847,2207,2494,146,0,0.13448296874047894,0.8405797101449275,0.04691516709511568,0.0,0.45533319579121107,0.544666804208789,0.0,0.5145450794305756,0.030121724778213326,0.055303030303030305,0.8577871201987388,0.7509870842534966,0.0867242087957254,31.373922984528065,0.0741589590907096,0.295684814453125,0.0002873776115642,0.0003215576052187,0.0001562826652015,0.0003775865217003,False,True,False,True,False
gas_c0b78a6a640849e8,NBI,test,attention_unet,experiment_03_baseline_failure_analysis\predictions\attention_unet\NBI\test\gas_c0b78a6a640849e8.png,dataset\NBI\test\images\gas_c0b78a6a640849e8.jpg,dataset\NBI\test\masks\gas_c0b78a6a640849e8.png,256,5,16411,2967,3112,43046,4473,501,4974,2175,2298,408,93,0.13253305709585034,0.7745197168857432,0.13110539845758354,0.002160479487060354,0.43727382388419783,0.5440289505428226,0.018697225572979495,0.4620024125452352,0.08202653799758745,0.15077605321507762,0.8565526048905082,0.749096642796137,0.0784156831366273,31.171237483085385,0.0761120840907096,0.295684814453125,0.0002873776115642,0.0003215576052187,0.0001562826652015,0.0003775865217003,False,True,False,True,False
gas_90cdcb83838f6bec,NBI,test,attention_unet,experiment_03_baseline_failure_analysis\predictions\attention_unet\NBI\test\gas_90cdcb83838f6bec.png,dataset\NBI\test\images\gas_90cdcb83838f6bec.jpg,dataset\NBI\test\masks\gas_90cdcb83838f6bec.png,256,5,20414,2967,3095,39060,4485,575,5060,2248,2237,391,184,0.11012050553541687,0.7539602291877318,0.12633279483037158,0.004710701484895033,0.4442687747035573,0.5193675889328063,0.03636363636363636,0.44209486166007905,0.07727272727272727,0.14878234398782345,0.8823224468636599,0.7894248608534323,0.0884534905839832,14.0356688476182,0.0769092813134193,0.3567657470703125,0.0007040113499059,0.0006299149782714,0.0005269339103711,0.0007154642293255,False,True,False,True,False
gas_9095fa0a7544fd2,NBI,test,unetpp,experiment_03_baseline_failure_analysis\predictions\unetpp\NBI\test\gas_9095fa0a7544fd2.png,dataset\NBI\test\images\gas_9095fa0a7544fd2.jpg,dataset\NBI\test\masks\gas_9095fa0a7544fd2.png,256,5,13635,2246,2075,47580,3973,153,4126,2036,1937,127,26,0.14932159882654933,0.8624220837043634,0.061204819277108434,0.000546448087431694,0.493456131846825,0.5002423654871546,0.006301502666020358,0.4694619486185167,0.030780416868637906,0.06153100775193798,0.8534043646899387,0.7442940984675579,0.0908876298394712,15.0,0.0625199303030967,0.2423248291015625,0.0009685315577578,0.0007923292365878,0.0002379509791521,0.0001845081992666,False,True,False,True,False
gas_e96e8099af2efd07,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_e96e8099af2efd07.png,dataset\NBI\test\images\gas_e96e8099af2efd07.jpg,dataset\NBI\test\masks\gas_e96e8099af2efd07.png,256,5,11921,2486,2637,48492,1517,2977,4494,684,833,1373,1604,0.05737773676704974,0.335076427996782,0.5206674251042852,0.03307762105089499,0.15220293724966621,0.4908767245215843,0.35692033822874947,0.1853582554517134,0.30551846906987096,0.6223934723481415,0.8514416239279403,0.7413133208255159,0.0984371355260088,18.391388583662994,0.0686981827020645,0.2198333740234375,0.0008890481260249,0.0010996932999249,0.0004498736690904,0.0008839177316694,False,True,False,True,False
