epoch,lr,train_loss,train_dice,train_iou,train_boundary_iou,train_hd95,train_mae,val_loss,val_dice,val_iou,val_boundary_iou,val_hd95,val_mae,best_dice,is_best
11,0.01,0.1426722394264474,0.8165049005836362,0.7124192901312711,0.2467251531309168,30.23213403088093,0.09757690170045695,0.15767666612352643,0.7951302637268165,0.6825049030206075,0.2240350739449717,33.09015824894507,0.10771152209934025,0.803140611278219,0
12,0.01,0.13891849925323407,0.8190281253471368,0.715976999547243,0.2504891145160584,29.591252636620272,0.09509463418614861,0.1596671298855827,0.8028762625858877,0.693665829155177,0.2354278644717283,32.66911784145032,0.10711533500081194,0.803140611278219,0
13,0.01,0.13541079011498666,0.8241435371278877,0.7223794219716876,0.2549675381658967,28.62122167634255,0.09280043430026497,0.15422570293857937,0.805892755062342,0.697682136260611,0.23702715966581178,31.838819865141307,0.10471950643086096,0.805892755062342,1
14,0.01,0.13305011215258616,0.8263398149018905,0.7253402723588335,0.25908888333766966,28.19046301685935,0.0911705947988334,0.15407930868012565,0.809665578653303,0.7020144145451827,0.2415100044820169,32.392767034098455,0.10485929988180509,0.809665578653303,1
15,0.01,0.13185206685139209,0.8273573303573095,0.7268597996326371,0.2611866771595533,28.3135399157991,0.09048885677130988,0.15968919765381587,0.8080098507440271,0.700862429239432,0.24571272799804503,31.83663556566657,0.10706724200918827,0.809665578653303,0
16,0.01,0.1273654559741215,0.8327382019398695,0.7337892530796206,0.2680121835770971,27.13775592523949,0.08715794892157237,0.15649727554548354,0.8096965683351676,0.7002298625599273,0.23414961376303473,31.547422447234688,0.10795625590475365,0.8096965683351676,1
17,0.01,0.12612511409180505,0.8344780415642324,0.7355971382475005,0.2674286862079346,27.07765698686784,0.08646607816050647,0.15336833042757853,0.8039698952318935,0.6927430571285268,0.22694030428818507,32.05602977093079,0.10554590673862202,0.8096965683351676,0
18,0.01,0.12471382289516683,0.8341674965547169,0.7360004759855978,0.2709623705102747,27.198510998143338,0.08523549652095333,0.15699669477485476,0.80750629292423,0.6978087013445431,0.23738600255693124,31.601203110887106,0.10578468539918373,0.8096965683351676,0
19,0.01,0.12260192900287861,0.8379782616875207,0.7404034735607139,0.27363409715137355,26.38722238541732,0.08402710221517755,0.16817226055122558,0.80079477695316,0.6926600310725717,0.22834453267957117,33.48346311267091,0.11626726299014298,0.8096965683351676,0
20,0.01,0.1220948148138669,0.8383305644382486,0.7406587910106326,0.2736282857762421,26.244843361573547,0.08356603125599688,0.15998334473087675,0.8104455689799711,0.7014504540198006,0.24188203172681985,30.92178574388349,0.10298435236826273,0.8104455689799711,1
21,0.01,0.12016691747976808,0.839303461574703,0.7425313519368621,0.2763411144042631,26.421361669498122,0.08234328427601473,0.15786733031272887,0.8052911261323502,0.695133748241485,0.2399955379688318,31.42322081380836,0.1060756611061238,0.8104455689799711,0
22,0.01,0.11854700838424721,0.8421918340319988,0.7462044234114937,0.2789706429143013,25.953988344910865,0.0810309496027541,0.15748821468580337,0.8113819808528249,0.7054460498627786,0.251913684503576,31.80442054466399,0.10746282619767866,0.8113819808528249,1
23,0.01,0.11509937272996319,0.8470365992333457,0.7520956776758904,0.284037073986817,24.922257764374816,0.07873166041170741,0.16510965412571316,0.8108841456024511,0.705396372815135,0.2541566254868296,31.79845651589676,0.1092778896181179,0.8113819808528249,0
24,0.01,0.11508230475746856,0.8469804173123958,0.7522749946504653,0.2846207630371466,24.846812523086452,0.07873366869592859,0.15877027625129336,0.8050584217510713,0.6958211251467761,0.24668289887188524,31.029741561454184,0.10451999446210851,0.8113819808528249,0
25,0.01,0.11105667998900219,0.8505185033245014,0.7572252894468184,0.29062258536576546,24.233274777507233,0.07577786906782719,0.1582330354622432,0.8083843126154772,0.699658518587637,0.24547219510702284,31.254665563012523,0.10612289986318155,0.8113819808528249,0
