epoch,lr,train_loss,train_dice,train_iou,train_boundary_iou,train_hd95,train_hd95_medpy,train_mae,val_loss,val_dice,val_iou,val_boundary_iou,val_hd95,val_hd95_medpy,val_mae,best_dice,is_best
11,0.01,0.13785038461330637,0.8247610778218326,0.7232197357962236,0.2585366550075261,29.360369905216523,29.412203128560538,0.09500258447838734,0.10471468126242943,0.8607942382065789,0.7686384659316658,0.2940764066564038,23.426855201312115,23.455136601904602,0.07011235417488977,0.8616036976513898,0
12,0.01,0.13427394927190295,0.8311231791597038,0.7301530654106673,0.2613143129598311,28.417549496839904,28.44588229922596,0.09205867434226594,0.1199348914900772,0.8452644912777296,0.7485447675128278,0.280240632526411,27.020503656971844,27.027297936616215,0.08400503087313732,0.8616036976513898,0
13,0.01,0.13553509646063222,0.8299189123701709,0.7294087221069808,0.2620585578082764,28.668625790443638,28.694268892887877,0.09251529966748986,0.10640122466965725,0.8597057090993221,0.7661958132855903,0.2945072145473149,23.523263877711376,23.615233396536723,0.07070524718231608,0.8616036976513898,0
14,0.01,0.12885337409659706,0.8367953334586569,0.7379418244079192,0.2690467045443426,27.34478081398865,27.38225869814128,0.08877302540889198,0.1008697956921118,0.8628337989834408,0.770996936273529,0.3036658016668372,22.515811849308975,22.542988330893888,0.06867797006777514,0.8628337989834408,1
15,0.01,0.12597176869367732,0.840498166800055,0.7428042799671147,0.27470717077456264,26.62528907166711,26.66686414686074,0.08619402710152418,0.09965828555798241,0.8659125827666989,0.7759849077877627,0.30830187200754156,23.040738344607213,23.031199710888917,0.0667704337913739,0.8659125827666989,1
16,0.01,0.12544177909349574,0.8402115101177603,0.7426876254441933,0.2742655025460526,26.626329099482156,26.672104572288287,0.08650108192209857,0.09855881785815544,0.8645716624271411,0.7740672132656053,0.3099480395408456,22.93729018661332,22.9358713218051,0.06655055975828034,0.8659125827666989,0
17,0.01,0.1220047086605738,0.8449857758814832,0.7486119119078193,0.2805605708143232,25.97882883185229,26.033839808469327,0.08389217258596106,0.09776526146572129,0.8678368555658412,0.7786778068552243,0.31330929825401316,22.277199749058422,22.27546275618156,0.06626549045091518,0.8678368555658412,1
18,0.01,0.11983033295335441,0.8481094150204243,0.7525028132319261,0.28302156442089343,25.34838626864627,25.371542882209578,0.0821738569165032,0.10387253417418553,0.8556556168520776,0.7614062635392902,0.3026394580577889,22.819913301614978,22.847008003282888,0.06950586575162616,0.8678368555658412,0
19,0.01,0.11975436548477617,0.8475043006781675,0.7516926292903863,0.2829019242508425,25.402931970945733,25.419170937633687,0.0821432748959743,0.10041957653244497,0.8578446590922304,0.7640569562426098,0.2978528960624451,22.127350529477813,22.173745421601442,0.06738123920112697,0.8678368555658412,0
20,0.01,0.11927860416471958,0.8472818224174815,0.7518778283292207,0.2849317296483817,25.49903540932846,25.55376285251412,0.08208588528439828,0.10360498738433668,0.8588621824110396,0.7660306746358697,0.30247660806126014,23.8683964028212,23.911963616211505,0.0696247184615175,0.8678368555658412,0
21,0.01,0.11722974029594455,0.8500654866358797,0.7558090996600378,0.2892224792267187,25.19389237091168,25.224506906654362,0.08060505796624809,0.10209645345988061,0.864280977946062,0.772036604396218,0.2975553788781172,21.784637569713794,21.832286936965225,0.06796945189031572,0.8678368555658412,0
22,0.01,0.11510881100749147,0.8528064416943321,0.7593737868309324,0.2914232893046394,24.60118220585633,24.646615561209373,0.07894134520480794,0.09552092132298087,0.8657462308209704,0.7750575364467207,0.31390214887909973,21.456786868633902,21.505499536124002,0.06472718061385337,0.8678368555658412,0
