epoch,lr,train_loss,train_dice,train_iou,train_boundary_iou,train_hd95,train_hd95_medpy,train_mae,val_loss,val_dice,val_iou,val_boundary_iou,val_hd95,val_hd95_medpy,val_mae,best_dice,is_best
11,0.01,0.13646451666437345,0.8261940563815533,0.72518650950011,0.25994753279553917,29.131771763808707,29.20515293326066,0.09367646573170124,0.10685165280755232,0.8570055043263184,0.764044252953656,0.2959949161527317,24.38537163195132,24.411174242608052,0.07304567283185327,0.8620606167382163,0
12,0.01,0.13460572815403857,0.8314789703837107,0.7303707199730897,0.2619058484328377,28.34516060501101,28.392223261837135,0.092464148969533,0.12228542717120908,0.8410352691071442,0.7434862434119318,0.2807623934177559,27.60387167541464,27.674977603396776,0.08653075589519371,0.8620606167382163,0
13,0.01,0.13421274811543268,0.8302422402690592,0.7295785305310356,0.2630635799054296,28.225683506881587,28.276055823583032,0.09176586881510267,0.10320933419562545,0.8618254895548012,0.7698409113715972,0.29942324930626363,23.39460598698392,23.474349853881346,0.0688121537659091,0.8620606167382163,0
14,0.01,0.12874253010698433,0.835395323999244,0.7364326825312608,0.2688799698206949,27.664392158307784,27.709729404776684,0.08887803301883557,0.0985263821325804,0.8646095838975241,0.7734870385987911,0.3046947401742307,22.32222510237289,22.373262402354236,0.06660744469793822,0.8646095838975241,1
15,0.01,0.12630015129929986,0.839161372857895,0.7413038291318867,0.27400758660525926,26.85151252672097,26.889284142195795,0.08679062843519456,0.10190688863939602,0.8622087460404313,0.7709432524190926,0.29994828158563347,22.93130260066168,22.948416444081204,0.0679337074301443,0.8646095838975241,0
16,0.01,0.12420484911778877,0.8420484558731339,0.7451066344637224,0.276794479584276,26.247556498623478,26.292271413538604,0.08559451016368132,0.0978309446078563,0.8640129327455986,0.7735331565773762,0.3073493423738371,22.215733324527996,22.258331815507166,0.06654781656271895,0.8646095838975241,0
17,0.01,0.1211921029627837,0.8457984944480749,0.7497291226148577,0.2809192132409576,25.52096042953264,25.575810066440106,0.08304929356551118,0.09694889290371404,0.869118087038964,0.780924874070543,0.31751976903828766,22.382405985446784,22.42484840908972,0.0651020956610288,0.869118087038964,1
18,0.01,0.11848909822132053,0.8486529707802546,0.7533751652762934,0.28249576122858,25.3455095797161,25.397631650249487,0.08144715847328339,0.10738562481847369,0.8446586854780465,0.747747217523504,0.2869513496769189,24.275115516415628,24.341490195722795,0.07170411979926652,0.869118087038964,0
19,0.01,0.11918384469403275,0.8484359771986953,0.7528502533670507,0.2839755848479451,25.310255006214906,25.346038862087852,0.0820140100862271,0.09737971886570154,0.8630783310801995,0.7722385695356367,0.3030856984852555,22.055449494307556,22.13957949477366,0.06514631254364725,0.869118087038964,0
20,0.01,0.11677421549142435,0.851019736710189,0.7566024608374801,0.2879335816671519,24.644933443774047,24.6867891167294,0.07989015523319189,0.10123803804398548,0.8644455012942899,0.7719798368353143,0.3049892256948237,22.190429641160684,22.268071588597163,0.06730559454035571,0.869118087038964,0
21,0.01,0.11757541974556857,0.848952660446894,0.7542858834982161,0.2871930656837099,25.57006679381104,25.596469802199337,0.08117707461810666,0.0994977314884846,0.8671474106543965,0.7773881037578981,0.3106137380360947,22.605408064046873,22.66709517891286,0.06639003180729051,0.869118087038964,0
22,0.01,0.1134164868051122,0.8539209027573031,0.7610063270501622,0.2929847139779403,24.404945763457974,24.449453228927034,0.07780233736298998,0.09668190732055347,0.8635746272056959,0.7737796424967152,0.31215261287465906,22.09743994391066,22.16601966756386,0.06538639855872734,0.869118087038964,0
