model,modal,frequency_metric,frequency_group,n,frequency_mean,frequency_min,frequency_max,Dice_mean,Dice_std,IoU_mean,IoU_std,Boundary_IoU_mean,Boundary_IoU_std,HD95_mean,HD95_std,MAE_mean,MAE_std
unet,NBI,global_hfr,mid,140,0.0004915639441224393,0.0003545902542211,0.0006503298888538,0.7999150574919455,0.1919115038884182,0.7012757254672939,0.2225324484050285,0.21380235516505194,0.14408268686194703,41.381841124674054,31.698283222561635,0.13097553803984602,0.11807902774882029
unet,NBI,global_hfr,high,140,0.0010147147373321941,0.0006506058853279,0.0022380101703795,0.7758038257645136,0.17385107645796635,0.6614616362127465,0.20007500577180806,0.17867584201234024,0.11247164734076717,42.9646399878876,30.48107784412701,0.1275955775087433,0.09873125936454756
unet,NBI,boundary_hfr,low,140,0.0003830698562258098,4.139722322038068e-05,0.0005539133207359,0.7733524183271853,0.20184973156231348,0.6659463891426974,0.22146958941888606,0.1800508617820328,0.1336873110878458,41.33968540732425,26.806904669233337,0.1323254993917154,0.1095022360881681
unet,NBI,boundary_hfr,mid,140,0.0006923823376860372,0.000554330353212,0.0008743432773836,0.8187349496158822,0.1716489277641843,0.722661212495553,0.20824892306063758,0.23641910798446786,0.15900391668808103,38.349804473132515,30.368620851833644,0.11979546337388454,0.10288315447336005
unet,NBI,boundary_hfr,high,140,0.0012970599745589291,0.000877008338271,0.0023991593713183,0.7776135696277957,0.1849873403088231,0.6677835431786103,0.21391389829054985,0.1874920988473948,0.12850858420145422,45.233397719185255,32.51263856843238,0.14439971268709212,0.12361020018081188
unet,NBI,boundary_freq_std,low,140,0.00021096579751077215,3.141723348210207e-05,0.0003325303623565,0.7347875248712533,0.21449283115140272,0.6184108360106018,0.22738415548722465,0.15051732803937606,0.10129333269178034,42.57992881667385,30.54758460736395,0.11983489492642026,0.10658335664765567
unet,NBI,boundary_freq_std,mid,140,0.00042099367027716644,0.0003362900983709,0.0005065073522605,0.8314626931188404,0.15354671018736032,0.736617718506477,0.19497176529653587,0.24174060963993793,0.16252084728339272,39.39363926089265,29.121463593171107,0.13007570514455438,0.0969725368187455
unet,NBI,boundary_freq_std,high,140,0.0008149554417112786,0.0005072390119216,0.0018652232068285,0.8034507195807694,0.17642115446913834,0.7013625902997822,0.20768132468784872,0.2117041309345814,0.14328641391933059,42.94931952207551,30.545391878403688,0.1466100753817175,0.1304940383052852
unet,NBI,boundary_freq_gap,low,140,0.00010075986368713268,4.776994911427884e-06,0.0001703827266279,0.7263059595096539,0.2164303996694928,0.6086781333014045,0.2313734597848305,0.14841387996990235,0.10471468317663943,47.4777116372345,30.969480592934143,0.15151210553678016,0.12246264330061268
unet,NBI,boundary_freq_gap,mid,140,0.00025744128110253856,0.0001707918206982,0.0003917411091347,0.7879969991765889,0.17517394897609415,0.6787566393832309,0.20322306382968378,0.1869463776805824,0.12276269923877522,40.91702872272515,27.428434806254508,0.1349367366504988,0.10826965648304557
