image,modal,model,frequency_metric,frequency_group,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,Dice,IoU,Boundary_IoU,HD95,MAE
gas_85866c7e3796ba1f,NBI,unetpp,boundary_hfr,mid,0.2383270263671875,0.000392800904767,0.0006086463235845,0.0006732272343734,9.777231487418932e-05,0.8013282095287841,0.6685134462151394,0.1392661666328806,40.49691346263317,0.1061264351010322
gas_872946e39faa6a36,NBI,unetpp,boundary_hfr,high,0.1016387939453125,0.0009113858411833,0.0010873513535213,0.0003248774000397,0.0001911646436216,0.0,0.0,0.0,136.3568841015067,0.169025033712387
gas_87caed923488ba9f,NBI,unetpp,boundary_hfr,high,0.650360107421875,0.0004157751955346,0.0017275577531809,0.0011606926038324,0.002372494903279,0.9093104332996272,0.8337023302153097,0.2179487179487179,40.151564350162346,0.1197584494948387
gas_8809274ac654c27d,NBI,unetpp,boundary_hfr,high,0.0532379150390625,0.0008805189783833,0.0017319388207557,0.0007809624238046,3.36804509009944e-05,0.087205146533238,0.0455904334828101,0.0,32.77727080974617,0.0509008280932903
gas_8922bbe70906715,NBI,unetpp,boundary_hfr,mid,0.30255126953125,0.0002731848480938,0.0007951817553485,0.0005380514946732,8.70513863731701e-05,0.5365501422928259,0.3666337725663203,0.06745857163807,104.918765080167,0.4349091053009033
gas_89ce6a8316d75435,NBI,unetpp,boundary_hfr,high,0.1566314697265625,0.0007635678450273,0.000880810506276,0.0007160233718264,0.0002121896924475,0.913846568693542,0.8413604766633564,0.3080967402733964,10.770329614269007,0.0254703443497419
gas_8a3ca5702e6b303f,NBI,unetpp,boundary_hfr,low,0.105621337890625,0.0001043748561557,0.0001817784614798,9.4576684351105e-05,6.469371310710044e-05,0.30059245400686,0.1768807339449541,0.0,92.41753080449618,0.4917291104793548
gas_8b58a74094ccf95d,NBI,unetpp,boundary_hfr,mid,0.0879058837890625,0.0006969358529276,0.0006912527824026,0.0001105975090196,0.0001334714188217,0.0,0.0,0.0,316.7838379715733,0.0879105553030967
gas_8c676604309f635a,NBI,unetpp,boundary_hfr,mid,0.86907958984375,0.0002808987565589,0.0005603921351955,0.0005072390119216,0.0006308538671966,0.7524769461719922,0.6031767860826515,0.0655677205068274,62.60590708034005,0.3450454473495483
gas_8ccf687527c4627d,NBI,unetpp,boundary_hfr,low,0.8915863037109375,0.0001808146005953,0.0004425935313142,0.0003579321044046,0.0007365478829866,0.9146774154618522,0.8427700929591246,0.3987331221870311,58.0,0.1409040242433548
gas_8d1282170dfcafc6,NBI,unetpp,boundary_hfr,low,0.6662750244140625,0.0002057732997477,0.000477364121071,0.0004028162936512,0.0004222836934763,0.9380505690205228,0.8833288494305443,0.3296907216494845,27.55638479979936,0.0777861922979354
gas_8d852452f3a65048,NBI,unetpp,boundary_hfr,mid,0.3177642822265625,0.0009220803577284,0.0008743432773836,0.0005734819895193,0.0001700493242086,0.895300739133383,0.8104474863421521,0.2643191441943392,17.0,0.0615433678030967
gas_8d8ac3a8113b4858,NBI,unetpp,boundary_hfr,mid,0.1387481689453125,0.0006080609704671,0.0008710540127168,0.0003562533784591,0.0005540887228869,0.9294921462280764,0.8682721410711935,0.3527707352408548,7.249056587021872,0.0199497770518064
gas_8e7f644ea19462d2,NBI,unetpp,boundary_hfr,high,0.221588134765625,0.0012643287424829,0.0012912591079524,0.0004989539528918,0.0007602839135786,0.8975657732972707,0.8141671870818092,0.2053107035313441,15.811388300841896,0.0415138714015483
gas_8e93cc04143a637c,NBI,unetpp,boundary_hfr,high,0.0671539306640625,0.0016658478495237,0.002071997950168,0.0005075334873948,0.0001218911038976,0.3518225039619651,0.2134615384615384,0.0250765696784073,104.4289210626655,0.2445392161607742
gas_8fa14777c6103b48,NBI,unetpp,boundary_hfr,high,0.5110626220703125,0.0013236679227852,0.0013874389486207,0.0008411515391337,0.0004794202025754,0.8762569832402235,0.7797663435247328,0.1390200708382526,29.8328677803526,0.1412627547979354
gas_8fce0f1c9af879ed,NBI,unetpp,boundary_hfr,mid,0.7582550048828125,0.0006332337426405,0.0008327963001107,0.0004390465000321,7.432202910882769e-05,0.9660084682046616,0.9342518178339074,0.3339737431956452,14.560219778561036,0.0513592138886451
gas_90110677674e47ef,NBI,unetpp,boundary_hfr,high,0.304840087890625,0.0003977613657615,0.0009017759539189,0.0014562966907387,0.0005401426867511,0.9131461880656544,0.840173883588325,0.1801395157981124,18.384776310850235,0.0564213953912258
gas_9039a84094e63ae4,NBI,unetpp,boundary_hfr,low,0.732086181640625,0.0002553413070418,0.0005393021942831,0.0004991909958808,0.0006850629932068,0.9819606339118166,0.9645605726279532,0.5055376095985233,5.830951894845301,0.0262476075440645
gas_9095fa0a7544fd2,NBI,unetpp,boundary_hfr,mid,0.2423248291015625,0.0009685315577578,0.0007923292365878,0.0002379509791521,0.0001845081992666,0.8534043646899387,0.7442940984675579,0.0908876298394712,15.0,0.0625199303030967
gas_90ba1cff2d35a071,NBI,unetpp,boundary_hfr,high,0.3334503173828125,0.0005195567028687,0.0012585987458772,0.0010289631910763,0.0003257240084641,0.9300345009790818,0.8692191494306298,0.2033260740447436,10.0,0.0448620840907096
gas_90cdcb83838f6bec,NBI,unetpp,boundary_hfr,mid,0.3567657470703125,0.0007040113499059,0.0006299149782714,0.0005269339103711,0.0007154642293255,0.9163200321294356,0.845563320626853,0.1791543756145526,13.0,0.0581353642046451
gas_9139148144704574,NBI,unetpp,boundary_hfr,high,0.1732330322265625,0.0010024736887143,0.0010901327373463,0.0004082936469722,0.0004098519479445,0.8751286008230452,0.7779810220647079,0.1925806451612903,14.553319044725772,0.0387037619948387
gas_91cc5d9ad0cdeb94,NBI,unetpp,boundary_hfr,high,0.571533203125,0.0007996748544625,0.001940071413785,0.0015914520722294,0.0006530214966125,0.7754471488894229,0.6332492290440146,0.2790309106098579,56.58444991235477,0.2607222497463226
gas_926378068667aca5,NBI,unetpp,boundary_hfr,mid,0.8364410400390625,0.0003773774790657,0.0005979406466765,0.0004185108454555,0.0003076176525079,0.9177735936653684,0.8480421363712195,0.1822020644354082,23.345235059857504,0.1270727068185806
gas_95b8d460a2d45039,NBI,unetpp,boundary_hfr,high,0.48095703125,0.0010485272405975,0.0013924322704062,0.0010528267097117,0.0004708647451917,0.8456862782934218,0.7326312270143764,0.0935060621159275,34.40930106817051,0.1593789905309677
gas_961129dd0492ca02,NBI,unetpp,boundary_hfr,low,0.2531585693359375,0.000253042023536,0.0004145793061235,0.0002931540561069,0.000113178526259,0.5657397484347679,0.3944470662262073,0.12670186162823,75.16299530301649,0.1534398943185806
gas_9708ea8244c635a,NBI,unetpp,boundary_hfr,mid,0.1358184814453125,0.0006054475736629,0.0006901539255365,0.0004182646493835,0.0003168153046568,0.5366955212645841,0.3667695473251028,0.0519989547948784,127.02460353857514,0.1226682066917419
gas_97fd52f534927291,NBI,unetpp,boundary_hfr,mid,0.1351776123046875,0.0003011744437323,0.0006645804714666,0.0006009089412394,0.000449772060133,0.8376943253790544,0.7207177454865697,0.2545330140266849,31.28889017340317,0.0505620203912258
gas_99d159a0c7d5ff8e,NBI,unetpp,boundary_hfr,mid,0.397979736328125,0.000621124711526,0.0007464056800926,0.0003949473473203,0.0001591926632787,0.8690187488591619,0.7683759107258139,0.126359399274987,20.270599929774765,0.100107617676258
gas_9a2be4e675720b86,NBI,unetpp,boundary_hfr,high,0.259033203125,0.0005700583132297,0.0009960948300063,0.0010679140090154,0.0003917411091347,0.8872532619605219,0.7973541791942274,0.186799501867995,13.0,0.0604472272098064
gas_9b7f1979c0e96002,NBI,unetpp,boundary_hfr,high,0.3735198974609375,0.0006291988013654,0.0012740654195206,0.0017057724004389,0.000264819280632,0.8335007151769682,0.7145316984085572,0.1934372733865119,67.76311292289739,0.1090361922979354
gas_9d2fea0944ac75be,NBI,unetpp,boundary_hfr,mid,0.5087738037109375,0.0007310897047793,0.0006374106656164,0.0002985739020425,0.0002210617034216,0.8889805308966205,0.8001484722981949,0.0949324324324324,23.259406699226016,0.101941168308258
gas_9dd840c7d03fc13e,NBI,unetpp,boundary_hfr,mid,0.8987884521484375,0.0003378421139225,0.0006535792102434,0.0004577093598125,0.0011485297642036,0.875222439303625,0.7781293563162437,0.111495673671199,34.0,0.1998365819454193
gas_9e553e2c66f297f6,NBI,unetpp,boundary_hfr,low,0.1080322265625,0.0001488806882075,0.0003249772149926,0.0001123894447196,5.473716458732496e-05,0.9004156876920296,0.8188691650230112,0.2334096109839817,8.602325267042627,0.0219626910984516
gas_9e7dae19e9032055,NBI,unetpp,boundary_hfr,low,0.6578826904296875,0.0003720549707361,0.0004577041051217,0.0003320599697645,4.451957885208147e-05,0.9782876618535368,0.9574981384959048,0.5234598123215014,5.656854249492381,0.0284398924559354
