model,modal,frequency_metric,prediction_metric,spearman,pearson
swin_unet,NBI,boundary_freq_gap,MAE,-0.09976753179178696,-0.08209266299101384
swin_unet,NBI,boundary_freq_std,Boundary_IoU,0.11509743043623183,0.07693558425643945
swin_unet,NBI,boundary_freq_std,Dice,0.14549888118899282,0.06258562367456169
swin_unet,NBI,boundary_freq_std,HD95,0.05877246560885407,0.07970943602218021
swin_unet,NBI,boundary_freq_std,IoU,0.14549888118899282,0.07683229625457033
swin_unet,NBI,boundary_freq_std,MAE,0.1273041421939418,0.13330607956522667
swin_unet,NBI,boundary_hfr,Boundary_IoU,0.06768617772444042,-0.005132881910461529
swin_unet,NBI,boundary_hfr,Dice,0.05405553805374666,-0.02435885137295592
swin_unet,NBI,boundary_hfr,HD95,-0.0135747254953949,0.03304667884902552
swin_unet,NBI,boundary_hfr,IoU,0.05405553805374666,-0.016907266100671232
swin_unet,NBI,boundary_hfr,MAE,-0.01969278239056521,0.009198989993903043
swin_unet,NBI,global_hfr,Boundary_IoU,0.005044820328947307,-0.0629722392763447
swin_unet,NBI,global_hfr,Dice,-0.02122153267794683,-0.015612786198739913
swin_unet,NBI,global_hfr,HD95,-0.05073375384349099,-0.05617973030343151
swin_unet,NBI,global_hfr,IoU,-0.02122153267794683,-0.02392275813806435
swin_unet,NBI,global_hfr,MAE,-0.08654117999583635,-0.0932637751297944
swin_unet,NBI,scale,Boundary_IoU,0.31401870324488534,0.4289430269909982
swin_unet,NBI,scale,Dice,0.5010753828061156,0.4505741413219846
swin_unet,NBI,scale,HD95,0.008954821974479978,-0.06991418680900748
swin_unet,NBI,scale,IoU,0.5010753828061156,0.49022035822092397
swin_unet,NBI,scale,MAE,0.2360772643270844,0.13047368340770096
unet,NBI,boundary_freq_gap,Boundary_IoU,0.3163953348314148,0.3126047125612391
unet,NBI,boundary_freq_gap,Dice,0.33276865029199226,0.25839965001817916
unet,NBI,boundary_freq_gap,HD95,-0.19964896063776122,-0.16030898356023696
unet,NBI,boundary_freq_gap,IoU,0.33276865029199226,0.28184770599430226
unet,NBI,boundary_freq_gap,MAE,-0.17137658119698906,-0.1527848047202046
unet,NBI,boundary_freq_std,Boundary_IoU,0.1741762710433456,0.12352426420920216
unet,NBI,boundary_freq_std,Dice,0.17527456018944065,0.13143754475183717
unet,NBI,boundary_freq_std,HD95,0.005723886881859128,0.0007420834971473905
unet,NBI,boundary_freq_std,IoU,0.17527456018944065,0.13515464789986537
unet,NBI,boundary_freq_std,MAE,0.09446648683617892,0.08301753438966804
unet,NBI,boundary_hfr,Boundary_IoU,0.057536157500965905,-0.021193448776431194
unet,NBI,boundary_hfr,Dice,0.02117035001008266,-0.027922836020874833
unet,NBI,boundary_hfr,HD95,0.017419071076320746,0.08291802989880419
unet,NBI,boundary_hfr,IoU,0.02117035001008266,-0.031482529551481606
unet,NBI,boundary_hfr,MAE,0.037910097276275374,0.07188732427623903
unet,NBI,global_hfr,Boundary_IoU,-0.024558694756637214,-0.0940080859881853
unet,NBI,global_hfr,Dice,-0.051715064792236434,-0.02379595221115461
unet,NBI,global_hfr,HD95,-0.018072704328867296,0.005424766823290668
unet,NBI,global_hfr,IoU,-0.051715064792236434,-0.04112205468729403
unet,NBI,global_hfr,MAE,-0.036123400176422585,-0.04441921323931325
unet,NBI,scale,Boundary_IoU,0.49837049030367814,0.5770087069225192
unet,NBI,scale,Dice,0.6494039060883823,0.5751782979595672
unet,NBI,scale,HD95,-0.233293730113262,-0.30235632697069925
unet,NBI,scale,IoU,0.6494039060883823,0.6247567453448987
unet,NBI,scale,MAE,0.045497532074730576,-0.09496521682660988
unetpp,NBI,boundary_freq_gap,Boundary_IoU,0.27045664741893827,0.27550744878634276
unetpp,NBI,boundary_freq_gap,Dice,0.28811760692372684,0.22794652397115098
unetpp,NBI,boundary_freq_gap,HD95,-0.13944139992602,-0.1419760862333836
unetpp,NBI,boundary_freq_gap,IoU,0.28811760692372684,0.24982711775865019
unetpp,NBI,boundary_freq_gap,MAE,-0.07397200866299374,-0.08211877813232132
unetpp,NBI,boundary_freq_std,Boundary_IoU,0.1390953220947626,0.09155216106510793
