epoch,learning_rate,train_loss,val_loss,DSC,mIoU
51,7.434680686803492e-05,2.149214,0.904906,0.7935,0.7681
52,7.343315373843317e-05,2.120016,0.901867,0.7956,0.7674
53,7.250944136965391e-05,2.096676,0.914965,0.7891,0.7654
54,7.15760749324711e-05,2.088756,0.927306,0.789,0.7673
55,7.06334638322521e-05,2.078532,0.911984,0.7882,0.7646
56,6.96820215293791e-05,2.055964,0.887088,0.7926,0.7693
57,6.872216535789157e-05,2.031888,0.917744,0.794,0.7687
58,6.775431634242986e-05,1.995953,0.946049,0.7917,0.7662
59,6.677889901355988e-05,1.978306,0.929774,0.7952,0.7669
60,6.579634122155991e-05,1.957466,0.954666,0.7913,0.7674
61,6.480707394875136e-05,1.931227,0.947785,0.7945,0.77
62,6.381153112045566e-05,1.915746,0.984734,0.7925,0.7663
63,6.281014941466031e-05,1.890921,0.953393,0.7998,0.771
64,6.180336807047746e-05,1.873812,0.992346,0.7883,0.7666
65,6.0791628695479094e-05,1.864724,0.959296,0.797,0.771
66,5.977537507199338e-05,1.868395,0.925378,0.8021,0.7739
67,5.875505296244706e-05,1.839068,0.946047,0.7992,0.7723
68,5.7731109913839376e-05,1.818719,0.966671,0.7964,0.7688
69,5.6703995061433054e-05,1.807851,0.960836,0.7994,0.7738
70,5.5674158931748854e-05,1.776102,0.984465,0.7973,0.7724
71,5.464205324494961e-05,1.757007,0.977915,0.7973,0.7698
72,5.360813071670101e-05,1.743125,0.968182,0.792,0.7664
73,5.257284485959538e-05,1.7435,0.993907,0.7927,0.7676
74,5.1536649784226164e-05,1.735653,0.95503,0.7954,0.7701
75,5.0499999999999994e-05,1.686213,0.99539,0.7942,0.7699
76,4.946335021577384e-05,1.66062,0.96268,0.8003,0.7746
77,4.842715514040461e-05,1.662801,0.999293,0.7937,0.7679
78,4.739186928329899e-05,1.631024,1.029084,0.7922,0.7663
79,4.635794675505037e-05,1.617453,0.985426,0.7965,0.7709
80,4.5325841068251155e-05,1.605406,1.017697,0.7967,0.7703
81,4.429600493856694e-05,1.574674,1.003981,0.7987,0.7723
82,4.326889008616064e-05,1.567223,0.999228,0.7956,0.7687
83,4.224494703755293e-05,1.550899,0.998457,0.7974,0.7712
84,4.122462492800663e-05,1.543463,1.027557,0.7971,0.7705
85,4.020837130452091e-05,1.522684,1.02658,0.7954,0.7684
86,3.919663192952255e-05,1.508592,1.016794,0.7993,0.7735
87,3.8189850585339694e-05,1.525254,1.005915,0.7998,0.7718
88,3.718846887954436e-05,1.490715,1.045333,0.7952,0.7667
89,3.6192926051248646e-05,1.486722,1.054694,0.7957,0.7704
90,3.5203658778440106e-05,1.477381,1.04759,0.7949,0.7687
91,3.422110098644013e-05,1.455723,1.058056,0.8006,0.774
92,3.3245683657570155e-05,1.435712,1.022035,0.8028,0.7751
93,3.2277834642108455e-05,1.432755,1.03556,0.798,0.772
94,3.1317978470620905e-05,1.412998,1.045663,0.7988,0.7716
95,3.036653616774789e-05,1.399386,1.05002,0.799,0.7728
96,2.9423925067528905e-05,1.389226,1.040521,0.7988,0.7728
