modal,image,split,model_count,low_dice_count,low_boundary_iou_count,high_hd95_count,mean_Dice,mean_Boundary_IoU,mean_HD95,max_HD95,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,common_low_dice,common_low_boundary_iou,common_high_hd95
NBI,gas_1a22e2c2a978c376,test,4,0,4,3,0.6318854059251648,0.0496706523456546,100.59007592140793,104.16042582930604,0.282318115234375,0.0008944023980162,0.0007393609776404,0.0007990388225941,0.0007223668305287,False,True,False
NBI,gas_d87a608e680af548,test,4,1,4,0,0.43622452107675475,0.050929154339653025,51.10220947204082,82.25568205805533,0.13446044921875,0.0007520296776159,0.0011198454763456,0.0008996437071046,0.0002203456426598,False,True,False
NBI,gas_b964aea372dee549,test,4,0,4,0,0.6577635711159411,0.05113551146901217,55.62611494806754,64.26079621781189,0.2228546142578125,0.0010470250603933,0.0013418855346143,0.000506149900534,0.0003828127498333,False,True,False
NBI,gas_a1b3c5fce05ae64b,test,4,0,4,0,0.6169100924527738,0.053739983893359225,85.88924876725635,94.77444820003196,0.13946533203125,0.0005617859323609,0.000296525231871,9.86471651287692e-05,9.825740370510128e-05,False,True,False
NBI,gas_34051,test,4,2,4,0,0.5188380081733115,0.05444561970633932,74.73629359461934,91.00384603773936,0.191162109375,6.703399311957955e-05,0.0002640112880253,0.0002104622837312,5.797877723162637e-05,False,True,False
NBI,gas_4c45177c57b20f13,test,4,0,4,0,0.775095112797082,0.056595098703181225,50.45641740475597,51.40038910358559,0.5352630615234375,0.0010206533775983,0.0009534360489486,0.0005201732943668,0.0002125328649721,False,True,False
NBI,gas_3926c0b84f0e8ff1,test,4,0,4,0,0.8081339200652808,0.057621995224869674,41.48167052556251,47.42571625766878,0.688568115234375,0.0004747690738491,0.0006606852581895,0.0007863433179508,0.0005059094185551,False,True,False
NBI,gas_2ff8e2db3424fdfb,test,4,3,4,3,0.43634675542950346,0.05825688175281225,105.04690561737313,114.56264500145052,0.1127166748046875,0.00064196959066,0.0016222645275878,0.0005451947340742,0.000362170729318,False,True,False
NBI,gas_bb2f30f4f0423c92,test,4,0,4,0,0.7172800996358624,0.05861887001940288,43.68452927939976,47.43100227342323,0.2070465087890625,0.0012642014597202,0.0007777838804713,0.000448046235015,0.0002018478927132,False,True,False
NBI,gas_adabb41367f870fe,test,4,0,4,0,0.6041249910949168,0.05900339127776988,62.99891713002852,80.31428609008171,0.166595458984375,0.0013313970514104,0.0019338919716799,0.0002380990050961,0.0001650240438882,False,True,False
NBI,gas_ecb03379390103e6,test,4,0,4,0,0.7657244774875483,0.05915237367001536,41.01677525035502,54.51597856747153,0.375823974609375,0.0003236857437982,0.0006310337051636,0.0004016572685476,0.0003625121566733,False,True,False
NBI,gas_e2ae7f2a76e15ef6,test,4,0,4,0,0.7991895712684379,0.05958883415588523,33.53644332213445,40.318726251452,0.3780517578125,0.0005185232559776,0.0005627936553734,0.0002572921472839,8.64284888386184e-05,False,True,False
NBI,gas_efd8f104ad0bf30a,test,4,0,4,0,0.7725232610348269,0.06000800008771673,42.650995336534905,64.04685499202324,0.2441558837890625,0.0010016430804043,0.0008667148295717,0.0004535853538827,0.0002683892988416,False,True,False
NBI,gas_c525cc5040683ec3,test,4,0,4,0,0.6735801206089012,0.0614766551899623,32.531818864517,38.9164878389476,0.1115875244140625,0.0003275979669474,0.0005431617889594,0.0002906578177542,0.000138848728464,False,True,False
NBI,gas_e583301bb1c36711,test,4,0,4,0,0.6192979921788858,0.06316104198731537,65.85224131951612,87.94425049143805,0.235137939453125,0.0013273315762962,0.0016254195359221,0.0006935804381087,0.0002663936956177,False,True,False
NBI,gas_a3b11f41a1a994be,test,4,0,4,0,0.8499684160143632,0.06465458110958912,32.948448957641205,42.0,0.626922607421875,0.000286543701094,0.0004508208313087,0.000351704808953,0.0002602250089902,False,True,False
NBI,gas_4d151a64d910d80,test,4,0,4,0,0.65247267486521,0.06745440260846672,57.75485491523751,62.24146527838174,0.3000030517578125,0.0004021203719211,0.0006577132557418,0.0004493329339455,0.0001677228853222,False,True,False
NBI,gas_c50f8aa50d4f6823,test,4,0,4,0,0.842519598417232,0.06765353599420032,26.24784792010207,29.0,0.3668212890625,0.0002253352180205,0.0002366017174803,0.0001884006527228,7.818647043502974e-05,False,True,False
NBI,gas_fb1eff37ac372a6b,test,4,0,4,0,0.8167871663900966,0.07359924564131362,47.30622636765695,48.03591149105012,0.4565887451171875,0.0002189451600955,0.0005933282941044,0.000377099696051,9.215911742304151e-05,False,True,False
NBI,gas_b493971ce67e37d3,test,4,0,4,0,0.8731064546310763,0.07393287984894435,25.22062230369492,39.81205847478876,0.385284423828125,0.0002896979867484,0.0002779623559356,0.0001890518430623,6.282567177233082e-05,False,True,False
NBI,gas_2b714b06a60e137e,test,4,0,4,0,0.5278125126842665,0.0745145254634196,78.83073632343358,82.0,0.320220947265625,0.0008345980618861,0.0016454959784068,0.0009002840281047,0.000320421603852,False,True,False
NBI,gas_95b8d460a2d45039,test,4,0,4,0,0.8379435073955851,0.07618514054548835,34.810230744324684,42.44820352272179,0.48095703125,0.0010485272405975,0.0013924322704062,0.0010528267097117,0.0004708647451917,False,True,False
NBI,gas_af1a47323452e495,test,4,0,4,0,0.7240972805477043,0.07657082695163153,42.45096837938847,46.09772228646444,0.2172698974609375,0.0011859619265646,0.0016710271903785,0.0004997644876252,0.0002775495853077,False,True,False
NBI,gas_1cdd8d6c9e7e29dc,test,4,0,4,0,0.6304243046583864,0.0770980220759884,80.17330255378069,81.97008009891633,0.379913330078125,0.0001318766872877,0.0002067699018556,0.0001649370990614,0.0001037458472303,False,True,False
NBI,gas_58e351d1fd73e299,test,4,0,4,0,0.6995449829135506,0.07758872753418537,67.67831166064683,73.11453908559075,0.3288726806640625,0.0003926522301522,0.000614944454671,0.0006365441698836,0.000174050893131,False,True,False
NBI,gas_48c44f4367c1bd8f,test,4,0,4,0,0.6645803751412176,0.0793660251036365,69.5644764821271,87.0186707180129,0.3529815673828125,0.0003067004489958,0.0008847372753506,0.000865625826542,0.0003455129618203,False,True,False
NBI,gas_637610748c3ab728,test,4,0,4,0,0.7522389143999163,0.08229399376031968,44.90620216640958,48.09261786382712,0.43646240234375,0.0006855653902195,0.00089014414263,0.0005011845140316,0.000217163341613,False,True,False
NBI,gas_ef162dab0f6e54b6,test,4,4,0,4,0.3460778444973629,0.11947391536561333,152.83241981644898,157.41982086128797,0.1928253173828125,0.0005525989269654,0.0017647168799353,0.0011038782747731,0.0004018087286788,True,False,True
NBI,gas_872946e39faa6a36,test,4,3,3,4,0.2742598256029986,0.0691238205757686,129.33319319428875,137.74432231251845,0.1016387939453125,0.0009113858411833,0.0010873513535213,0.0003248774000397,0.0001911646436216,False,False,True
NBI,gas_ac2ec86224241a0,test,4,0,0,4,0.6572528936169388,0.13744856372824638,137.45842537905267,139.9360540579865,0.2631683349609375,0.00058436063658,0.0007874643353534,0.000445306355997,0.0008253687025624,False,False,True
WL,gas_59ef58d465a92352,test,4,4,4,3,0.018330097087378625,0.00035612535612535,249.38455695331436,316.7838379715733,0.2467803955078125,0.000137589597353,0.0004798168039673,0.0003797459003618,0.0008516300716356,True,True,False
WL,gas_26706,test,4,4,4,0,0.3560217622573043,0.0018517093655176999,54.442888339579405,62.27639203220167,0.027252197265625,4.878543317045134e-05,6.451959595716461e-05,2.645372014297357e-05,1.351580321260789e-05,True,True,False
WL,gas_26674,test,4,4,4,0,0.2658613809732007,0.002660922453117075,31.697455968571983,35.618789627050035,0.0131988525390625,0.0001161333368227,0.0002107671768924,0.0001603399243458,2.668839785984842e-05,True,True,False
WL,gas_26697,test,4,4,4,0,0.3504872399169776,0.0179677678571964,66.58922972262687,91.51283530179192,0.0672454833984375,0.000117251660497,7.521533027857787e-05,3.909714775180608e-05,9.026144598423192e-06,True,True,False
WL,gas_25501,test,4,4,4,0,0.38968941442424376,0.023630572750367,56.24887843700361,57.0,0.0542144775390625,0.0001697400201353,0.0001407471520672,0.0001368510503072,9.405821225012688e-05,True,True,False
WL,gas_599f943d393b7123,test,4,4,4,4,0.1243931041542296,0.02880249015608945,118.8093159344507,131.10167724194912,0.0338134765625,0.0002222133042367,0.0002394254123814,0.0001761572843716,2.04161610172113e-05,True,True,True
WL,gas_26130,test,4,4,4,3,0.09072750121656639,0.0338837967557902,167.40574015833477,316.7838379715733,0.01763916015625,4.273096183792902e-05,5.0801605782759056e-05,3.089371062201861e-05,2.1873578497580777e-05,True,True,False
WL,gas_25933,test,4,4,4,1,0.01558728538584135,0.05247555824988025,93.37070056401777,174.01034147535236,0.034423828125,4.736221213141991e-05,4.425172782451986e-05,2.260865348709156e-05,6.413011353019146e-06,True,True,False
WL,gas_36752,test,4,4,4,1,0.35340587922801336,0.05661619551203052,82.51509365203405,103.0,0.0570220947265625,9.2398983482694e-05,8.510687371815429e-05,9.987307347101252e-05,2.165327304735715e-05,True,True,False
WL,gas_26020,test,4,3,4,3,0.15734674777725785,0.016488413547237075,243.8953565762924,316.7838379715733,0.1169891357421875,6.07768151463377e-05,2.984386052084045e-05,2.434923985645577e-05,2.1298308895111284e-05,False,True,False
WL,gas_35734,test,4,0,4,0,0.7524884839498339,0.019486048586065702,43.00102437701105,43.31050348445205,0.3907318115234375,3.998597527801501e-05,0.000120271227941,7.62273881591075e-05,8.164049956053167e-05,False,True,False
