image,modal,split,model,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,pred_fg_ratio,gt_fg_ratio
gas_2acd4e36da4c7150,NBI,test,unetpp,0.2686170933224976,0.1551459774071408,0.0576765525151564,143.83739691723213,0.5380859375,0.119140625,0.0006262454799288,0.0014432095179634,0.0005272401365089,0.0003882097070419,0.6163504464285714,0.1193598533163265
gas_2acd4e36da4c7150,NBI,test,unet,0.268156719769623,0.1548389065169636,0.0295029131027643,143.83671297690307,0.5520766973495483,0.119140625,0.0006262454799288,0.0014432095179634,0.0005272401365089,0.0003882097070419,0.6350047831632653,0.1193598533163265
gas_b2c81bd5a9bcb333,NBI,test,unet,0.2248993799630153,0.1266966939363299,0.0,142.9401936958791,0.5680404901504517,0.082122802734375,0.0002616113169908,0.0005379191010724,0.0004703144472862,0.0001652943170303,0.6504504145408163,0.0824099170918367
gas_ac2ec86224241a0,NBI,test,swin_unet,0.6573468924272629,0.489588031874906,0.147053457398285,139.9360540579865,0.2706273794174194,0.2631683349609375,0.00058436063658,0.0007874643353534,0.000445306355997,0.0008253687025624,0.5268455038265306,0.2629544005102041
gas_ac2ec86224241a0,NBI,test,attention_unet,0.6234129062835192,0.4528684811365201,0.1270090845562543,139.834715636591,0.3008809089660644,0.2631683349609375,0.00058436063658,0.0007874643353534,0.000445306355997,0.0008253687025624,0.5360132334183674,0.2629544005102041
gas_33668,NBI,test,unetpp,0.1953140644816768,0.1082260689451102,0.0455255523320687,138.72398514929955,0.2402542978525161,0.0508270263671875,7.344069133139307e-05,0.0003081264604747,0.0001030169719116,8.49383101343627e-05,0.2479272959183673,0.0506417410714285
gas_9708ea8244c635a,NBI,test,attention_unet,0.440426638917794,0.2824020016680567,0.0495849225936728,138.462625107799,0.1714764088392257,0.1358184814453125,0.0006054475736629,0.0006901539255365,0.0004182646493835,0.0003168153046568,0.1706792091836734,0.1357621173469387
gas_872946e39faa6a36,NBI,test,unet,0.3080050031269543,0.1820365921271484,0.0736754966887417,137.74432231251845,0.1764190047979354,0.1016387939453125,0.0009113858411833,0.0010873513535213,0.0003248774000397,0.0001911646436216,0.1532405931122449,0.1017020089285714
gas_f11877fecf2b89ef,NBI,test,unetpp,0.4469487154999522,0.2877874800147583,0.0790280210157618,137.59360450253493,0.1154137402772903,0.099090576171875,0.0003731159122175,0.0004113677554054,0.0001977979112982,0.00019596601789,0.1095742984693877,0.0991111288265306
gas_872946e39faa6a36,NBI,test,unetpp,0.0,0.0,0.0,136.3568841015067,0.169025033712387,0.1016387939453125,0.0009113858411833,0.0010873513535213,0.0003248774000397,0.0001911646436216,0.0673230229591836,0.1017020089285714
gas_ac2ec86224241a0,NBI,test,unetpp,0.6521617283636085,0.4838575533040979,0.1342576342576342,136.21507864338798,0.2721022069454193,0.2631683349609375,0.00058436063658,0.0007874643353534,0.000445306355997,0.0008253687025624,0.5193120216836735,0.2629544005102041
gas_872946e39faa6a36,NBI,test,attention_unet,0.1269087207329487,0.0677536231884058,0.0629316960859554,135.48984537213414,0.3076769709587097,0.1016387939453125,0.0009113858411833,0.0010873513535213,0.0003248774000397,0.0001911646436216,0.2506975446428571,0.1017020089285714
gas_3a93aaf3b1a7fdc0,NBI,test,attention_unet,0.7435540069686412,0.5917914586799778,0.1231209735146743,135.06479260274406,0.0440051034092903,0.0639495849609375,0.0003889183073051,0.0006295424676574,0.0003105489557795,0.0001856517111489,0.1075215242346938,0.0640744579081632
gas_ac2ec86224241a0,NBI,test,unet,0.6960900473933649,0.5338482507950931,0.141474078700812,133.8478531782452,0.2249282598495483,0.2631683349609375,0.00058436063658,0.0007874643353534,0.000445306355997,0.0008253687025624,0.4771603954081632,0.2629544005102041
gas_9708ea8244c635a,NBI,test,unet,0.2358187935216336,0.1336703920525102,0.01669449081803,132.55375966040333,0.1946548223495483,0.1358184814453125,0.0006054475736629,0.0006901539255365,0.0004182646493835,0.0003168153046568,0.118961256377551,0.1357621173469387
gas_f11877fecf2b89ef,NBI,test,attention_unet,0.5869754367177565,0.4154035619552861,0.0529710711493354,130.37196716172414,0.1229870840907096,0.099090576171875,0.0003731159122175,0.0004113677554054,0.0001977979112982,0.00019596601789,0.1986607142857142,0.0991111288265306
gas_dec67f3edfbe85e1,NBI,test,swin_unet,0.7192028662590685,0.5615275419600857,0.2185888937987921,129.00387591076478,0.3139548897743225,0.7037506103515625,0.0002275890603129,0.0007251893889022,0.0005009667932166,0.0006739458833345,0.4143813775510204,0.7037029655612245
