image,modal,split,model,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,pred_fg_ratio,gt_fg_ratio
gas_d87a608e680af548,NBI,test,swin_unet,0.0335228100859932,0.0170471390453602,0.0355603448275862,82.25568205805533,0.1321548223495483,0.13446044921875,0.0007520296776159,0.0011198454763456,0.0008996437071046,0.0002203456426598,0.0022919323979591,0.1344467474489795
gas_6b4c50277f3fd2e7,NBI,test,unet,0.0562200956937799,0.0289230769230769,0.0289855072463768,49.79708200421128,0.0314492993056774,0.0323333740234375,0.0005089687310417,0.0002920528279232,0.0001633619806967,2.6058694025923672e-05,0.0009367028061224,0.0323860012755102
gas_d0dd34ddf755c8ea,NBI,test,unet,0.0735774046163887,0.0381938027474896,0.023573533351192,90.25242366263492,0.3111647069454193,0.2421112060546875,0.0005271401021697,0.0006301905826087,0.0002817699150965,0.0001781798792354,0.0936304209183673,0.2422472895408163
gas_d0dd34ddf755c8ea,NBI,test,unetpp,0.0792249202845229,0.0412463286936534,0.0168741355463347,89.94303749710397,0.2992665767669678,0.2421112060546875,0.0005271401021697,0.0006301905826087,0.0002817699150965,0.0001781798792354,0.0827686543367346,0.2422472895408163
gas_8809274ac654c27d,NBI,test,unetpp,0.087205146533238,0.0455904334828101,0.0,32.77727080974617,0.0509008280932903,0.0532379150390625,0.0008805189783833,0.0017319388207557,0.0007809624238046,3.36804509009944e-05,0.0024314413265306,0.0533322704081632
gas_7a34685bb33d23f5,NBI,test,unetpp,0.0905257239246556,0.0474087161366313,0.0738052026618269,55.54412629048546,0.0644730553030967,0.0651092529296875,0.0002490529086474,0.0002844911375302,0.0002945257646414,0.0001993668957452,0.0058992346938775,0.0649912308673469
gas_b856c8afa6c71b8,NBI,test,unetpp,0.1031778786628146,0.0543951261966927,0.0191489361702127,28.284271247461906,0.0433075577020645,0.04583740234375,0.0003302227772434,0.0004625797150612,0.0002865249070901,7.585018044705723e-05,0.0024912308673469,0.0457987882653061
gas_6281db552a6bc5c8,NBI,test,attention_unet,0.1038830055471507,0.0547872340425531,0.0,60.4313648680706,0.0708306729793548,0.07476806640625,0.0003601587561214,0.0007132026105827,0.0007117861332154,0.0005858283674648,0.0041055484693877,0.0749362244897959
gas_f58054994167fabd,NBI,test,attention_unet,0.1257275902211874,0.0670807453416149,0.0041152263374485,31.827660925679098,0.0299346297979354,0.0321044921875,0.0007370083818422,0.0007011414237152,0.0001673860526448,0.0002115175696248,0.0021524234693877,0.0320870535714285
gas_872946e39faa6a36,NBI,test,attention_unet,0.1269087207329487,0.0677536231884058,0.0629316960859554,135.48984537213414,0.3076769709587097,0.1016387939453125,0.0009113858411833,0.0010873513535213,0.0003248774000397,0.0001911646436216,0.2506975446428571,0.1017020089285714
gas_1fec79e817fdab12,NBI,test,attention_unet,0.1573234732824427,0.0853776943491488,0.030772366007744,87.51170445470945,0.2816087305545807,0.189422607421875,0.0005054227473466,0.000377018647134,0.0005537531364071,0.0006934341066596,0.1446906887755102,0.1894929846938775
gas_d0dd34ddf755c8ea,NBI,test,attention_unet,0.1583854462762933,0.086003580910045,0.0177383592017738,89.06317952335964,0.2950414419174194,0.2421112060546875,0.0005271401021697,0.0006301905826087,0.0002817699150965,0.0001781798792354,0.1083187181122449,0.2422472895408163
