image,modal,split,model,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,pred_fg_ratio,gt_fg_ratio
gas_e96e8099af2efd07,NBI,test,unet,0.8514416239279403,0.7413133208255159,0.0984371355260088,18.391388583662994,0.0686981827020645,0.2198333740234375,0.0008890481260249,0.0010996932999249,0.0004498736690904,0.0008839177316694,0.2423668686224489,0.2200653698979592
gas_e2ae7f2a76e15ef6,NBI,test,swin_unet,0.8725495461625221,0.7739138719512195,0.0987699651184138,23.095423458130163,0.0945870503783226,0.3780517578125,0.0005185232559776,0.0005627936553734,0.0002572921472839,8.64284888386184e-05,0.3642578125,0.3778898278061224
gas_90cdcb83838f6bec,NBI,test,swin_unet,0.8689912826899129,0.7683329663069809,0.0988563675130839,18.520082076162023,0.0838647931814193,0.3567657470703125,0.0007040113499059,0.0006299149782714,0.0005269339103711,0.0007154642293255,0.2837810905612244,0.3563655931122449
gas_1e64d1109280f3b7,WL,test,swin_unet,0.8777923784494087,0.7822014051522248,0.0525154457193292,22.020443990990717,0.1408641636371612,0.5747833251953125,0.000333612174164,0.0006494696504728,0.0003473726402003,0.0004304296390095,0.5773477359693877,0.5753148915816326
gas_35737,WL,test,unet,0.876820339528522,0.7806590257879656,0.0577288780222765,24.186773244895647,0.1525629758834839,0.5659027099609375,4.727751204845593e-05,0.0001422035695321,0.0001098082528875,8.980139109580662e-05,0.6730110012755102,0.5655293367346939
gas_32934,WL,test,attention_unet,0.8756385003171635,0.7787873389156126,0.0599746139200338,77.27481755673561,0.1484773606061935,0.5482177734375,2.817744956459646e-05,0.0001146486407475,9.377259611594324e-05,9.609012193239132e-05,0.6457270408163265,0.5481903698979592
gas_33871,WL,test,attention_unet,0.8707047098832705,0.7710159756296072,0.0610021786492374,46.37347533613007,0.1962492018938064,0.6817169189453125,4.228933473671765e-05,0.0002434915778721,0.0001321435127414,0.0001121398059128,0.8358577806122449,0.6819794323979592
gas_26092,WL,test,unet,0.8624347000158303,0.7581408293904814,0.0681818181818181,17.951189470793043,0.0692761465907096,0.2512969970703125,4.684563925249023e-05,9.968194060315408e-05,7.796911254870228e-05,3.321021927728054e-05,0.2515545280612244,0.2520328443877551
gas_5949f8f040a1bf90,WL,test,unet,0.8709661905448949,0.771426137331743,0.0686716791979949,14.499620099739865,0.053471777588129,0.213897705078125,0.0002097574425904,0.0003749815329312,0.0002886992536332,7.956835713349738e-05,0.2003746811224489,0.2140266262755102
gas_36455,WL,test,unetpp,0.8597517951272153,0.7540040768782761,0.0715127701375245,50.54299143831908,0.2020288556814193,0.7809906005859375,2.833829058555813e-05,0.0003191127170068,0.00040511905658,0.0004113294126954,0.6600366709183674,0.7804727359693877
