image,modal,split,model,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,pred_fg_ratio,gt_fg_ratio
gas_42fbd6e92781acb0,NBI,test,attention_unet,0.9340885684860968,0.8763285024154589,0.3395853899308983,76.78508390538971,0.0229591839015483,0.1778106689453125,0.0004886988864113,0.0006223032558186,0.0002945494509912,0.000531695453661,0.1704400510204081,0.1778938137755102
gas_cf9b3716377c266b,NBI,test,unet,0.9469773524341676,0.8992943832909963,0.2774397663665125,76.3904429562035,0.0355548486113548,0.332122802734375,0.0001349872331109,0.0004631826520735,0.0004296396979491,0.0002273483842028,0.3385682397959184,0.3319913903061224
gas_e97954e7927ce65f,NBI,test,unetpp,0.8673792301730819,0.7658161083392729,0.2390336077743285,74.3222687389296,0.1637037694454193,0.545166015625,0.0007245025605937,0.0012890349326559,0.000413503702595,0.0004667720906818,0.6890345982142857,0.5453404017857143
gas_66fac42556fba8cd,NBI,test,unet,0.8629744091424506,0.7589753617520532,0.2671494669080668,72.47068372797375,0.1228276491165161,0.4989013671875,0.0002668876062855,0.0006609270451977,0.0005252168817417,0.0008869543083911,0.3970424107142857,0.4993423150510204
gas_18893669edfe3466,NBI,test,attention_unet,0.92298317721277,0.8569812074282799,0.3081519419547588,71.0,0.1284677982330322,0.8944549560546875,0.0002925786771599,0.0005103651663168,0.0003891512450294,0.0007155425730261,0.7710060586734694,0.8970424107142857
gas_e9828f3dc46f3565,NBI,test,unet,0.8672964462438146,0.7656870532168387,0.1879401408450704,69.89849339366232,0.0529137440025806,0.182830810546875,0.0007074818725395,0.0009817074455937,0.0006832304793028,0.000333624244692,0.2159199617346938,0.1828164859693877
gas_3c8e86fc2eaac8,NBI,test,swin_unet,0.8523177567400106,0.7426426275612696,0.2159440081939228,68.56710548580601,0.2042610049247741,0.7680816650390625,0.0006711686207163,0.0017672987374107,0.001731972250308,0.0009204187731262,0.614875637755102,0.7682358099489796
gas_c9ca17faaebc0204,NBI,test,attention_unet,0.8512067769379633,0.7409573453690166,0.1997248337537262,63.08406579404041,0.0812141299247741,0.23614501953125,0.0005319367347998,0.0009673868375231,0.0007914912514557,8.548209636980646e-05,0.3097098214285714,0.2361088966836734
gas_90ba1cff2d35a071,NBI,test,unet,0.8888018085908064,0.7998589409722222,0.140341791817711,62.93647591023825,0.0735212042927742,0.3334503173828125,0.0005195567028687,0.0012585987458772,0.0010289631910763,0.0003257240084641,0.3275868941326531,0.3335857780612244
gas_91cc5d9ad0cdeb94,NBI,test,unet,0.894996235197481,0.8099485845258007,0.2849167388584079,62.22539674441618,0.1222895383834838,0.571533203125,0.0007996748544625,0.001940071413785,0.0015914520722294,0.0006530214966125,0.5932517538265306,0.5713687818877551
gas_7122778260a4f41,NBI,test,swin_unet,0.9053680285120612,0.8270981042892341,0.2402413058907026,62.02579974166663,0.1370575577020645,0.6635589599609375,8.907698422178469e-05,0.0003378866437166,0.0002909513303702,0.0001870490919376,0.7847775829081632,0.6635443239795918
gas_fc4f473955212364,NBI,test,unet,0.9256284169695488,0.8615533318171481,0.1769048614013093,60.78071128662853,0.097058355808258,0.6528472900390625,0.0005916623184016,0.0008009826209187,0.0006374109718012,8.386559797881623e-05,0.6517857142857143,0.6532605229591837
gas_6ea24d97271c2932,NBI,test,attention_unet,0.9022573927530196,0.8219207187518971,0.2942579926833147,60.50948631297674,0.1169284135103225,0.5466461181640625,0.0003866943791994,0.0006365127112987,0.0003367286265985,0.0003805495395921,0.650031887755102,0.546257174744898
